,Player,Player.1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Goals,Assists,SpG,KeyP,Fouled,Off,Disp,UnsTch,AvgP,PS%,Crosses,LongB,ThrB
8,"169Roberto LagoCelta Vigo, 36, D(L)","Roberto Lago Celta Vigo, 36, D(L)",32(2),2826,2.2,2.4,1.2,0.5,4.4,0.4,0.1,-,6.9,-,3,0.4,0.5,0.6,0.1,0.4,0.5,32.3,78.5,0.3,1.0,-
9,"170Gary MedelSevilla, 34, D(C),DMC","Gary Medel Sevilla, 34, D(C),DMC",31(1),2654,2.5,1.5,1.5,0.1,1.8,0.8,0.4,-,6.89,6,3,1,0.6,0.8,0.1,0.9,0.6,51.7,87.5,-,5.1,-
0,"151TiagoAtletico, 41, M(C)","Tiago Atletico, 41, M(C)",14(8),1374,2.0,1.6,1.6,-,2.0,0.6,0.4,-,6.93,2,-,0.7,0.5,0.4,-,0.3,0.5,35.6,81.5,-,2.4,0.1
1,"152Íñigo MartínezReal Sociedad, 31, D(C)","Íñigo Martínez Real Sociedad, 31, D(C)",34,3060,1.3,2.0,0.9,0.6,5.4,0.3,0.7,-,6.93,4,-,0.6,0.1,1.0,0.2,0.2,0.4,42.5,79.8,-,5.1,-
2,"153Raphaël VaraneReal Madrid, 29, D(C)","Raphaël Varane Real Madrid, 29, D(C)",12(3),1121,0.9,1.4,0.4,0.5,5.5,0.2,0.4,-,6.92,-,-,0.7,0.3,0.3,0.1,0.1,0.3,28.1,85.8,0.1,2.7,-
3,"154Carles PuyolBarcelona, 44, D(C)","Carles Puyol Barcelona, 44, D(C)",12(1),971,1.3,1.3,0.8,0.3,4.2,0.2,0.2,-,6.92,1,-,0.2,0.1,0.6,-,0.2,0.3,47.5,93.7,0.1,2.0,0.1
4,"155Ángel Di MaríaReal Madrid, 34, M(CLR),FW","Ángel Di María Real Madrid, 34, M(CLR),FW",22(10),1985,0.8,0.8,0.5,-,0.1,0.5,-,-,6.92,7,6,1.9,1.4,1.2,0.1,1.1,1.4,29.9,71.8,0.6,2.3,0.5
5,"156RikiDeportivo, 41, AM(R),FW","Riki Deportivo, 41, AM(R),FW",36,2728,0.6,0.1,0.8,-,0.8,0.2,0.1,-,6.92,13,-,3.4,0.8,2.3,1.3,2.1,2.1,20.0,74.0,0.1,0.6,0.1
6,"157Oier SanjurjoOsasuna, 36, D(CR),M(C)","Oier Sanjurjo Osasuna, 36, D(CR),M(C)",25(6),2306,2.9,2.7,1.9,0.2,3.2,1.0,0.1,-,6.92,-,-,1.1,0.6,1.4,0.2,0.9,1.0,34.2,68.4,0.1,1.5,-
7,"158Alberto CostaValencia, 37, M(C)","Alberto Costa Valencia, 37, M(C)",26(5),2272,2.4,1.4,2.0,-,0.8,1.3,0.1,-,6.92,1,6,2.4,1.5,0.7,-,0.9,0.8,43.7,81.6,1.1,5.4,0.4
8,"159Raoul LoéOsasuna, 33, M(C)","Raoul Loé Osasuna, 33, M(C)",18(5),1568,2.0,1.8,1.5,-,3.2,0.5,0.1,-,6.92,2,1,0.6,0.4,0.6,-,0.9,0.5,28.1,69.5,-,1.6,-
9,"160LoloOsasuna, 37, D(C),M(C)","Lolo Osasuna, 37, D(C),M(C)",17(5),1606,1.3,1.5,1.0,0.6,5.0,0.5,0.3,-,6.91,1,2,1.0,0.7,0.8,-,0.2,0.3,37.5,67.0,-,5.9,-
0,"141Borja OubiñaCelta Vigo, 40, DMC","Borja Oubiña Celta Vigo, 40, DMC",36,3232,3.7,3.0,2,0.1,2.5,0.9,0.3,-,6.94,1,-,0.6,0.3,0.6,-,0.6,0.6,47.6,82.3,-,2.9,-
1,"142David AlbeldaValencia, 44, M(C)","David Albelda Valencia, 44, M(C)",16(2),1220,3.1,2.1,1.5,-,3.5,0.7,0.2,-,6.94,-,-,0.4,0.3,0.8,-,0.2,0.1,35.0,79.4,0.1,3.3,0.1
2,"143Pape DiopLevante, 36, M(C)","Pape Diop Levante, 36, M(C)",32,2521,3.6,2.4,2.1,-,2.5,0.8,0.3,-,6.94,-,-,0.7,0.5,1.3,-,0.6,0.8,29.4,71.3,-,2.2,0.1
3,"144David ZurutuzaReal Sociedad, 35, M(CL)","David Zurutuza Real Sociedad, 35, M(CL)",14(7),1160,1.2,1.2,0.7,-,0.8,0.4,0.2,-,6.93,2,4,0.6,1.0,1.9,-,1.2,0.8,29.1,78.6,0.1,1.6,0.2
4,"145IscoMalaga, 30, M(CLR),FW","Isco Malaga, 30, M(CLR),FW",36(1),3073,1.4,0.7,0.8,-,0.1,0.6,-,-,6.93,9,1,1.8,1.2,2.0,0.2,2.8,1.9,47.6,84.6,0.4,1.9,0.1
5,"146Roberto FernándezGranada, 43, GK","Roberto Fernández Granada, 43, GK",14,1260,-,0.3,-,-,1.7,0.1,-,-,6.93,-,1,-,0.1,0.1,-,-,-,31.8,35.5,-,9.0,-
6,"147Imanol AgirretxeReal Sociedad, 35, FW","Imanol Agirretxe Real Sociedad, 35, FW",22(12),2049,0.4,0.1,0.8,-,0.5,0.1,0.1,-,6.93,13,5,2.3,0.8,0.8,0.7,1.6,1.2,15.3,68.3,-,0.6,0.1
7,"148Mikel BalenziagaReal Valladolid, 34, D(L)","Mikel Balenziaga Real Valladolid, 34, D(L)",32,2871,2.7,2.6,1.2,0.4,6.6,0.6,0.2,1,6.93,-,1,0.1,0.4,0.8,0.1,0.8,0.5,40.2,73.0,0.5,0.9,-
8,"149Alberto MorenoSevilla, 29, D(L),M(L)","Alberto Moreno Sevilla, 29, D(L),M(L)",12(3),1106,1.9,3.1,0.7,0.3,2.8,1.1,0.3,-,6.93,-,1,0.4,0.5,1.1,0.1,0.6,0.5,30.3,78.0,0.7,1.7,-
9,"150Gustavo CabralCelta Vigo, 36, D(C)","Gustavo Cabral Celta Vigo, 36, D(C)",26(1),2242,2.1,3.0,1,0.9,6.5,0.6,0.4,-,6.93,2,-,0.4,0.1,0.3,0.1,0.2,0.2,31.1,81.2,-,1.7,-
0,"131Mikel San JoséAthletic Bilbao, 33, D(C),DMC","Mikel San José Athletic Bilbao, 33, D(C),DMC",23(11),2228,2.8,2,1.1,0.1,3.9,1.1,0.5,-,6.96,5,-,0.5,0.3,0.4,-,0.5,0.3,37.3,78.5,-,3.9,0.1
1,"132Miguel FlañoOsasuna, 37, D(C)","Miguel Flaño Osasuna, 37, D(C)",22,1915,1.5,2.2,0.6,1.3,8.9,0.3,0.6,-,6.96,-,-,0.1,-,0.7,-,-,0.1,24.3,76.2,-,2.2,-
2,"133Manuel PabloDeportivo, 46, D(LR)","Manuel Pablo Deportivo, 46, D(LR)",24,2112,3.8,2.7,1,0.3,3.9,1.3,0.5,-,6.96,-,2,0.1,0.6,0.9,-,0.5,0.7,38.9,80.6,0.4,1.7,-
3,"134RafaGetafe, 37, D(CL)","Rafa Getafe, 37, D(CL)",16(3),1571,1.7,2.8,1,0.5,6.8,0.6,0.4,-,6.96,1,-,0.6,0.2,0.5,-,0.1,0.1,30.2,83.8,-,1.7,-
4,"135Fernando AmorebietaAthletic Bilbao, 37, D(CL)","Fernando Amorebieta Athletic Bilbao, 37, D(CL)",10(1),888,2.6,3.2,2,0.4,7.6,0.4,1.1,-,6.95,-,-,0.6,0.3,1.0,-,0.4,0.2,36.0,78.8,-,3.8,-
5,"136Víctor PérezReal Valladolid, 34, M(C)","Víctor Pérez Real Valladolid, 34, M(C)",24(1),2164,4.3,1.7,1.7,-,1.5,2.1,0.4,-,6.94,4,-,0.7,0.4,0.7,-,1,0.5,55.4,81.3,0.1,5.0,0.1
6,"137Diego ColottoEspanyol, 41, D(C)","Diego Colotto Espanyol, 41, D(C)",28,2459,2.1,1.8,0.9,0.8,7.1,0.9,0.9,-,6.94,2,1,0.6,0.2,1.2,0.2,0.2,0.3,28.1,62.9,0.1,3.3,-
