,Player,Player.1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Goals,Assists,SpG,KeyP,Fouled,Off,Disp,UnsTch,AvgP,PS%,Crosses,LongB,ThrB
3,"34Szabolcs HusztiHannover, 39, M(CLR)","Szabolcs Huszti Hannover, 39, M(CLR)",30,2599,2.4,0.8,2.2,-,0.3,3.3,-,-,7.4,10,7,1.7,2.3,2.2,0.2,1.7,0.9,37.2,76.1,1.9,1.9,-
4,"35Admir MehmediFreiburg, 31, M(CLR),FW","Admir Mehmedi Freiburg, 31, M(CLR),FW",29(3),2618,1.4,0.5,1.5,-,0.3,0.9,0.2,-,7.4,12,4,2.5,1.0,1.3,0.9,2.3,1.6,29.3,76.7,0.2,0.9,0.1
5,"36Neven SuboticBorussia Dortmund, 33, D(C)","Neven Subotic Borussia Dortmund, 33, D(C)",10,826,2.5,2.6,1.3,0.3,5.2,1.0,0.7,-,7.4,-,-,1.1,0.3,0.5,-,0.2,0.3,60.3,83.4,-,7.6,-
6,"37Christoph KramerBorussia M.Gladbach, 31, DMC","Christoph Kramer Borussia M.Gladbach, 31, DMC",30(3),2660,2.9,2.6,1.5,0.1,1.8,2.4,0.4,-,7.39,3,1,0.6,0.6,0.8,0.1,1.2,0.8,57.6,88.6,-,3.3,0.1
7,"38Claudio PizarroBayern, 43, AM(C),FW","Claudio Pizarro Bayern, 43, AM(C),FW",6(11),704,0.6,0.1,0.8,-,0.2,0.4,0.1,-,7.39,10,2,1.4,0.8,0.6,0.1,1.3,0.6,20.3,80.9,-,1.2,0.1
8,"39Son Heung-MinLeverkusen, 29, M(CLR),FW","Son Heung-Min Leverkusen, 29, M(CLR),FW",29(2),2387,1.2,0.9,0.5,-,0.1,1.5,-,-,7.39,10,4,2.7,1.1,1.5,0.5,2.0,1.3,22.1,80.3,0.5,1.0,0.1
9,"40Johannes GeisMainz, 28, D(C),DMC","Johannes Geis Mainz, 28, D(C),DMC",31(2),2798,3.0,1.8,1.3,-,1.9,1.9,0.5,-,7.38,1,5,1.7,2.1,1.1,0.1,0.5,0.6,48.5,75.7,1.9,8.1,-
0,"21Pierre-Michel LasoggaHamburg, 30, FW","Pierre-Michel Lasogga Hamburg, 30, FW",18(2),1491,0.3,0.2,2.2,-,0.9,0.7,0.1,-,7.54,13,1,3.6,0.6,1.9,0.5,2.2,1.3,19.3,63.9,0.2,0.6,-
1,"22NaldoWolfsburg, 39, D(C)","Naldo Wolfsburg, 39, D(C)",33,2970,2.2,2.8,1.5,1.4,4.9,0.9,0.5,-,7.54,3,2,1.5,0.4,0.7,0.1,0.5,0.3,50.8,80.8,-,6.5,-
2,"23Sokratis PapastathopoulosBorussia Dortmund, 34, D(CR)","Sokratis Papastathopoulos Borussia Dortmund, 34, D(CR)",24(4),2265,2.6,1.3,1.6,0.8,4.8,0.8,0.5,-,7.54,1,2,0.8,0.4,1.3,-,0.3,0.3,53.5,81.7,-,6.2,-
3,"24Milan BadeljHamburg, 33, M(C)","Milan Badelj Hamburg, 33, M(C)",29,2411,3.5,2.9,1.6,-,1.9,3.0,0.4,-,7.5,1,2,1.1,0.8,1.0,-,1.3,0.7,50.0,81.4,-,4.7,-
4,"25Javi MartínezBayern, 33, D(C),M(C)","Javi Martínez Bayern, 33, D(C),M(C)",14(4),1341,2.6,1.6,1.5,0.8,2.7,0.8,0.4,-,7.5,-,-,0.9,0.1,1.6,-,0.7,0.5,60.7,89.5,-,5.1,-
5,"26Mario MandzukicBayern, 36, M(L),FW","Mario Mandzukic Bayern, 36, M(L),FW",21(9),2028,0.6,0.2,1.6,-,0.4,0.9,-,-,7.5,18,4,2.5,1.0,1.3,0.3,1.1,0.9,17.7,72.7,0.1,0.3,-
6,"27Daniel BaierAugsburg, 38, M(C)","Daniel Baier Augsburg, 38, M(C)",34,3060,3.5,3.3,0.9,-,1.3,2.3,0.1,-,7.49,-,3,1.2,1.5,1.9,-,1.2,0.9,60.9,80.1,0.3,5.5,0.2
7,"28Santiago GarcíaWerder Bremen, 33, D(CL),M(L)","Santiago García Werder Bremen, 33, D(CL),M(L)",21(1),1851,2.9,2.5,2.1,0.3,5.2,1.6,0.3,-,7.47,3,-,0.8,0.6,1.1,0.1,0.9,0.9,31.0,59.4,0.4,1.2,-
8,"29Nuri SahinBorussia Dortmund, 33, M(C)","Nuri Sahin Borussia Dortmund, 33, M(C)",31(3),2779,3.5,2.5,1.6,-,0.9,2.6,0.1,-,7.46,2,2,1.6,1.2,0.9,-,0.9,0.6,60.6,79.5,0.9,4.6,0.2
9,"30Joel MatipSchalke, 30, D(C)","Joel Matip Schalke, 30, D(C)",31,2790,2.4,2.5,1.3,0.7,6.0,0.4,0.5,-,7.45,3,2,0.5,0.1,1.0,0.1,0.4,0.2,44.8,80.8,-,5.9,-
0,"11DiegoWolfsburg, 37, M(CLR)","Diego Wolfsburg, 37, M(CLR)",15,1274,1.9,0.7,1.9,-,0.4,1.2,-,-,7.73,3,2,2.8,2.3,3.6,0.1,2.5,0.9,46.2,81.8,1.4,3.9,0.1
1,"12Mario GötzeBayern, 30, M(CLR),FW","Mario Götze Bayern, 30, M(CLR),FW",20(7),1830,1.5,0.3,0.6,-,0.1,1.2,-,-,7.72,10,8,1.9,1.4,1.7,0.2,2.4,1.1,44.0,87.9,0.2,0.9,0.2
