,Pos,Club,Country,15/16,16/17,17/18,18/19,19/20,Pts,NA
81,82,FIO  ACF Fiorentina  Fiorentina,ITA,8.000,11.000,-,-,-,19.0,14.13
102,103,TOR  Torino FC  Torino,ITA,-,-,-,-,2.500,2.5,14.13
103,104,US Sassuolo Calcio  Sassuolo,ITA,-,4.000,-,-,-,4.0,14.13
104,105,SAM  UC Sampdoria  Sampdoria,ITA,1.000,-,-,-,-,1.0,14.13
6,7,PAR  Paris Saint-Germain  Paris,FRA,24.000,20.000,19.000,19.000,31.000,113.0,11.849
14,15,OL  Olympique Lyonnais  Lyon,FRA,7.000,22.000,14.000,17.000,23.000,83.0,11.849
38,39,MON  AS Monaco FC  Monaco,FRA,5.000,25.000,6.000,5.000,-,41.0,11.849
52,53,OM  Olympique de Marseille  Marseille,FRA,9.000,-,19.000,3.000,-,31.0,11.849
67,68,STE  AS Saint-Étienne  St-Étienne,FRA,9.000,9.000,-,-,4.000,22.0,11.849
106,107,REN  Stade Rennais FC  Rennes,FRA,-,-,-,11.000,3.000,14.0,11.849
116,117,LIL  LOSC Lille  LOSC,FRA,-,1.000,-,-,5.000,6.0,11.849
117,118,STR  Racing Club de Strasbourg Alsace  Strasbourg,FRA,-,-,-,-,2.500,2.5,11.849
118,119,BOR  FC Girondins de Bordeaux  Bordeaux,FRA,4.000,-,1.000,5.000,-,10.0,11.849
119,120,NIC  OGC Nice  Nice,FRA,-,4.000,6.000,-,-,10.0,11.849
