,Player,Player.1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Goals,Assists,SpG,KeyP,Fouled,Off,Disp,UnsTch,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB
9,"470Gedson FernandesTottenham, 23, M(CR)","Gedson Fernandes Tottenham, 23, M(CR)",0(7),63,0.3,0.1,-,-,-,0.3,-,-,6.12,-,-,0.1,0.3,0.3,-,-,0.3,-,0.3,5.6,84.6,0.3,-,-
0,"451Patrick RobertsNorwich, 25, AM(CR),FW","Patrick Roberts Norwich, 25, AM(CR),FW",0(3),24,-,-,0.3,-,-,-,-,-,6.2,-,-,-,-,0.7,-,-,-,-,-,3.0,66.7,-,0.3,-
1,"452João PedroWatford, 20, AM(L),FW","João Pedro Watford, 20, AM(L),FW",0(3),22,-,-,0.3,-,-,-,-,-,6.19,-,-,0.3,-,-,-,0.7,-,-,-,3.0,77.8,0.3,-,-
2,"453Lukas RuppNorwich, 31, M(CR)","Lukas Rupp Norwich, 31, M(CR)",8(4),699,1.3,1.3,0.8,-,0.2,1,-,-,6.19,-,-,0.3,0.7,0.5,-,1.5,1.3,-,0.7,22.1,76.2,-,0.3,0.1
3,"454Angus GunnSouthampton, 26, GK","Angus Gunn Southampton, 26, GK",10,900,0.1,-,-,-,0.3,0.2,-,-,6.19,-,-,-,-,0.2,-,-,-,-,-,23.1,37.7,-,4.3,-
4,"455Takumi MinaminoLiverpool, 27, AM(CLR),FW","Takumi Minamino Liverpool, 27, AM(CLR),FW",2(8),243,0.3,-,0.7,-,0.3,0.8,-,-,6.18,-,-,0.8,0.1,0.3,-,0.5,1,-,0.1,10.6,89.6,0.1,0.2,-
5,"456George HirstLeicester, 23, FW","George Hirst Leicester, 23, FW",0(2),9,-,-,-,-,-,-,-,-,6.18,-,-,1.5,-,1,-,-,0.5,-,-,2.5,80.0,-,-,-
6,"457Diogo DalotMan Utd, 23, D(LR),M(R)","Diogo Dalot Man Utd, 23, D(LR),M(R)",1(3),66,0.8,0.5,0.3,0.3,0.3,0.3,-,-,6.18,-,-,0.3,-,-,-,0.5,0.3,-,-,12.8,74.5,-,0.3,-
7,"458Mario VrancicNorwich, 32, M(CL)","Mario Vrancic Norwich, 32, M(CL)",6(14),630,1.4,0.5,0.7,0.1,0.2,0.6,-,-,6.17,1,-,0.7,0.4,0.7,0.1,0.5,0.5,-,0.4,22.6,78.3,-,0.8,-
8,"459Henrikh MkhitaryanArsenal, 33, M(CLR),FW","Henrikh Mkhitaryan Arsenal, 33, M(CLR),FW",1(2),111,-,-,0.7,-,0.3,0.7,-,-,6.17,-,-,0.7,0.7,0.7,0.3,1,1.3,-,0.7,23.0,79.7,-,0.3,0.3
9,"460Faustino AnjorinChelsea, 20, Midfielder","Faustino Anjorin Chelsea, 20, Midfielder",0(1),19,-,-,-,-,-,-,-,-,6.16,-,-,1,-,1,-,1,1,-,-,7.0,100.0,-,-,-
0,"441Ezequiel SchelottoBrighton, 32, D(R),M(LR)","Ezequiel Schelotto Brighton, 32, D(R),M(LR)",5(4),363,0.4,0.8,0.8,0.1,1.4,0.7,-,-,6.24,-,-,0.4,-,0.4,0.1,0.7,1.4,-,-,13.4,68.6,0.1,0.3,-
1,"442Ignacio PussettoWatford, 26, AM(CLR),FW","Ignacio Pussetto Watford, 26, AM(CLR),FW",0(7),68,1,0.4,0.4,-,0.4,0.7,0.1,-,6.24,-,-,-,-,0.3,-,0.3,0.4,-,-,4.1,58.6,0.1,0.3,-
2,"443Jordon IbeBournemouth, 26, M(CLR)","Jordon Ibe Bournemouth, 26, M(CLR)",0(2),48,1,-,-,-,0.5,-,-,-,6.23,-,-,-,-,1,-,0.5,0.5,-,-,8.5,82.4,0.5,-,-
3,"444Leroy SanéMan City, 26, M(CLR),FW","Leroy Sané Man City, 26, M(CLR),FW",0(1),11,-,-,-,-,-,-,-,-,6.23,-,-,2,-,-,-,-,-,-,-,7.0,85.7,-,-,-
4,"445Keinan DavisAston Villa, 24, FW","Keinan Davis Aston Villa, 24, FW",4(14),538,0.1,-,0.7,-,0.2,0.2,-,-,6.22,-,-,0.9,0.3,0.6,0.2,0.6,1.4,-,0.3,7.6,73.5,-,0.1,-
5,"446Marco StiepermannNorwich, 31, D(L),M(CLR)","Marco Stiepermann Norwich, 31, D(L),M(CLR)",14(10),1189,0.8,0.2,0.9,-,0.7,0.7,0.1,-,6.22,-,-,0.8,0.5,0.6,-,0.9,1.1,-,0.5,16.8,71.5,-,0.4,-
6,"447Alexis Mac AllisterBrighton, 23, M(CL),FW","Alexis Mac Allister Brighton, 23, M(CL),FW",4(5),352,1,0.1,0.4,-,0.1,0.4,-,-,6.22,-,-,0.8,0.6,0.4,0.1,0.8,0.8,-,0.6,10.9,75.5,0.3,0.2,-
7,"448Valentino LazaroNewcastle, 26, D(R),M(CLR)","Valentino Lazaro Newcastle, 26, D(R),M(CLR)",4(9),474,1,0.2,0.2,-,0.2,0.5,-,-,6.21,1,-,0.3,0.5,0.2,-,0.5,0.3,-,0.5,13.1,82.9,0.3,0.6,-
8,"449Charlie DanielsBournemouth, 35, D(L),M(L)","Charlie Daniels Bournemouth, 35, D(L),M(L)",2,127,0.5,0.5,-,-,2,0.5,-,-,6.21,-,-,-,1,-,-,0.5,0.5,-,1,18.5,75.7,1,1.5,-
9,"450Max MeyerCrystal Palace, 26, M(CLR),FW","Max Meyer Crystal Palace, 26, M(CLR),FW",6(11),652,1.1,0.4,0.4,-,0.1,0.6,0.1,-,6.2,-,-,0.5,0.2,0.9,0.1,0.9,0.6,-,0.2,11.8,78.1,0.1,0.2,-
