,Player,Player.1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Goals,Assists,SpG,KeyP,Fouled,Off,Disp,UnsTch,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB
0,"301Roberto JiménezWest Ham, 36, GK","Roberto Jiménez West Ham, 36, GK",7(1),686,-,-,-,-,1.3,-,-,1,6.56,-,-,-,-,0.1,-,-,0.1,-,-,25.4,42.4,-,6.1,-
1,"302Callum Hudson-OdoiChelsea, 21, M(CLR)","Callum Hudson-Odoi Chelsea, 21, M(CLR)",7(15),852,0.5,0.2,0.5,-,0.2,0.3,-,-,6.56,1,5,1,0.9,0.6,0.1,0.8,1.3,5,0.9,18.7,85.9,0.8,1.3,-
2,"303Andros TownsendCrystal Palace, 30, AM(LR),FW","Andros Townsend Crystal Palace, 30, AM(LR),FW",14(10),1290,1.4,0.6,0.4,-,0.3,0.9,-,-,6.56,1,1,0.5,0.5,1.1,-,1.5,1.3,1,0.5,16.4,76.6,0.7,0.5,-
3,"304Nampalys MendyLeicester, 29, M(C)","Nampalys Mendy Leicester, 29, M(C)",4(3),291,1,0.9,0.6,-,0.6,0.1,0.1,-,6.55,-,-,0.1,0.4,1.1,-,0.3,0.7,-,0.4,29.9,90.9,0.3,1.4,-
4,"305Marc AlbrightonLeicester, 32, D(R),M(LR)","Marc Albrighton Leicester, 32, D(R),M(LR)",9(11),864,1.2,0.5,0.4,-,0.4,1.1,0.1,-,6.55,-,3,0.5,1,0.6,0.1,0.5,0.6,3,1,20.4,75.2,0.6,1.2,0.1
5,"306Oriol RomeuSouthampton, 30, DMC","Oriol Romeu Southampton, 30, DMC",20(10),1860,1.8,1.1,1.3,-,1.0,1.6,0.4,-,6.55,-,-,0.3,0.6,0.5,-,0.1,0.5,-,0.6,35.9,80.7,0.1,1.5,-
6,"307Manuel LanziniWest Ham, 29, M(CLR)","Manuel Lanzini West Ham, 29, M(CLR)",14(10),1378,0.6,0.4,0.3,-,0.1,1.3,-,-,6.55,-,2,1,1.3,1.1,0.2,0.7,1.3,2,1.3,31.5,86.9,0.6,1.0,-
7,"308Rob HoldingArsenal, 26, D(CR)","Rob Holding Arsenal, 26, D(CR)",6(2),581,0.5,0.6,0.5,0.3,5.4,0.3,0.8,-,6.55,-,-,0.3,-,0.4,-,0.3,0.5,-,-,43.9,87.2,-,2.5,-
8,"309Ahmed El MohamadyAston Villa, 34, D(R),M(R)","Ahmed El Mohamady Aston Villa, 34, D(R),M(R)",11(7),1027,1.1,0.7,0.7,-,1.2,0.6,0.3,-,6.55,1,1,0.3,1.2,0.3,0.1,0.1,0.5,1,1.2,27.7,79.7,1.1,1.8,-
9,"310Andreas PereiraMan Utd, 26, M(CLR)","Andreas Pereira Man Utd, 26, M(CLR)",18(7),1490,1,0.3,1.1,-,0.2,1.2,-,-,6.55,1,3,1.5,1.3,0.6,0.1,1.6,1.8,3,1.3,28.0,78.3,0.4,1.2,-
0,"291Christian FuchsLeicester, 36, D(CL),M(L)","Christian Fuchs Leicester, 36, D(CL),M(L)",8(3),771,1.3,1.5,0.2,0.3,2.1,1,0.3,-,6.58,-,-,0.5,0.2,-,0.1,0.2,1,-,0.2,51.2,80.8,0.2,2.4,-
1,"292Tom HeatonAston Villa, 36, GK","Tom Heaton Aston Villa, 36, GK",20,1795,0.2,-,0.1,-,0.6,0.1,-,1,6.57,-,-,-,-,0.1,-,-,0.1,-,-,26.4,52.2,-,6.0,-
2,"293Ryan FraserBournemouth, 28, M(CLR),FW","Ryan Fraser Bournemouth, 28, M(CLR),FW",21(7),2063,0.4,0.5,0.4,-,0.6,0.5,0.1,-,6.57,1,4,1,1.6,1.3,-,0.7,1,4,1.6,27.5,79.9,1,1.0,0.1
3,"294David de GeaMan Utd, 31, GK","David de Gea Man Utd, 31, GK",38,3450,-,-,-,-,0.4,-,-,-,6.57,-,-,-,-,0.2,-,-,-,-,-,20.7,74.4,-,2.5,-
4,"295Maximilian KilmanWolves, 24, D(C)","Maximilian Kilman Wolves, 24, D(C)",2(1),184,1.3,1.3,0.7,0.3,2.3,-,0.3,-,6.57,-,-,-,-,-,-,0.3,0.3,-,-,32.7,76.5,-,0.3,-
5,"296Harry WinksTottenham, 26, DMC","Harry Winks Tottenham, 26, DMC",26(5),2230,1.3,1.2,0.8,-,1.0,1.2,0.3,-,6.57,-,-,0.5,0.6,0.7,-,0.5,0.8,-,0.6,54.6,90.3,0.2,2.5,0.1
6,"297James MilnerLiverpool, 36, D(LR),M(CLR)","James Milner Liverpool, 36, D(LR),M(CLR)",9(13),927,0.7,0.3,0.5,0.2,0.7,0.9,0.1,-,6.56,2,2,0.5,0.5,0.5,-,0.3,0.4,2,0.5,34.0,87.0,0.1,2.2,0.1
7,"298Alexander IwobiEverton, 26, M(CLR)","Alexander Iwobi Everton, 26, M(CLR)",19(6),1604,1,0.6,0.5,-,0.4,0.8,0.1,-,6.56,1,-,0.9,1,0.2,-,0.7,1.4,-,1,22.3,79.7,0.5,1.1,0.2
8,"299BernardEverton, 29, AM(CL)","Bernard Everton, 29, AM(CL)",15(12),1311,1.1,0.6,0.7,-,0.3,1.1,0.1,-,6.56,3,2,0.4,0.9,0.4,-,1.1,1.5,2,0.9,20.0,77.0,0.2,0.6,0.1
9,"300Adam SmithBournemouth, 31, D(LR),M(LR)","Adam Smith Bournemouth, 31, D(LR),M(LR)",24,2060,2,1,1,0.2,2.0,1.1,0.3,-,6.56,-,1,0.2,0.4,1.7,0.1,0.6,1.1,1,0.4,35.0,79.5,0.3,1.1,-
0,"281TrézéguetAston Villa, 27, AM(LR)","Trézéguet Aston Villa, 27, AM(LR)",20(14),1951,1.1,0.7,1,-,0.4,1,0.1,-,6.59,6,1,1.5,0.6,0.9,0.2,0.6,2.1,1,0.6,10.7,75.2,0.3,0.3,-
1,"282Séamus ColemanEverton, 33, D(CR),M(R)","Séamus Coleman Everton, 33, D(CR),M(R)",21(6),1839,1.6,0.9,0.7,0.3,1.3,0.2,0.3,-,6.59,-,1,0.3,0.3,0.7,-,0.5,1.3,1,0.3,30.5,78.0,0.1,1.2,-
2,"283Javier ManquilloNewcastle, 28, D(LR),M(R)","Javier Manquillo Newcastle, 28, D(LR),M(R)",18(3),1602,1.9,0.9,0.9,0.1,2.3,0.7,0.1,-,6.59,-,1,-,0.2,0.5,-,0.1,0.9,1,0.2,22.6,75.4,0.2,0.8,-
3,"284Todd CantwellNorwich, 24, AM(CLR)","Todd Cantwell Norwich, 24, AM(CLR)",30(7),2504,1.4,0.5,0.9,-,0.8,1.3,0.1,-,6.59,6,2,1.1,0.9,1.8,0.1,1.3,2.1,2,0.9,28.8,81.9,-,0.8,-
4,"285Solly MarchBrighton, 27, M(CLR)","Solly March Brighton, 27, M(CLR)",11(8),1147,1.3,1.1,0.5,0.1,0.5,0.5,0.2,-,6.59,-,1,1.1,0.7,0.6,0.1,1.6,0.8,1,0.7,25.9,77.6,0.7,1.3,0.1
5,"286Jay RodriguezBurnley, 32, AM(CLR),FW","Jay Rodriguez Burnley, 32, AM(CLR),FW",20(16),2011,0.8,0.1,0.7,-,0.3,0.7,0.2,-,6.59,8,1,1.9,0.2,0.4,0.6,1.2,1.7,1,0.2,12.9,69.8,-,0.2,-
6,"287Rúben VinagreWolves, 23, D(L),M(L)","Rúben Vinagre Wolves, 23, D(L),M(L)",6(10),646,1.4,0.7,0.4,0.1,0.9,0.2,0.1,-,6.58,-,-,0.3,0.3,0.5,-,0.9,0.6,-,0.3,15.1,76.9,0.6,0.4,-
7,"288Wayne HennesseyCrystal Palace, 35, GK","Wayne Hennessey Crystal Palace, 35, GK",3,270,-,0.3,-,-,1.7,-,-,-,6.58,-,-,-,-,-,-,-,-,-,-,32.3,44.3,-,11.7,-
8,"289David LuizArsenal, 35, D(C),DMC","David Luiz Arsenal, 35, D(C),DMC",32(1),2811,0.8,1.0,0.9,0.5,3.8,0.3,1.1,-,6.58,2,1,0.7,0.1,0.4,-,0.2,0.5,1,0.1,54.5,85.1,0.1,4.9,0.1
9,"290Jack StaceyBournemouth, 26, D(R),M(R)","Jack Stacey Bournemouth, 26, D(R),M(R)",17(2),1541,1.1,0.9,0.5,0.1,2.8,0.7,0.6,-,6.58,-,2,0.3,0.5,0.5,0.1,0.6,0.8,2,0.5,31.6,74.0,0.2,1.5,-
0,"271Björn EngelsAston Villa, 27, D(C)","Björn Engels Aston Villa, 27, D(C)",15(2),1447,0.6,1.6,0.3,0.4,5,0.3,1,-,6.61,1,-,0.5,0.1,0.3,0.1,0.1,0.4,-,0.1,38.1,84.2,0.1,2.9,-
1,"272Jack CorkBurnley, 32, DMC","Jack Cork Burnley, 32, DMC",30,2618,1.2,0.9,1.1,-,1.5,1.7,0.4,-,6.61,-,-,0.6,0.4,0.8,-,1.2,1.5,-,0.4,30.8,77.9,-,1.6,-
2,"273Jack RobinsonSheff Utd, 28, D(CL),M(L)","Jack Robinson Sheff Utd, 28, D(CL),M(L)",6,505,1.7,1.3,0.7,0.5,3.7,0.8,0.8,-,6.61,-,-,-,0.3,0.7,0.2,0.2,0.7,-,0.3,41.5,78.7,0.2,2.3,-
3,"274Jack StephensSouthampton, 28, D(CR)","Jack Stephens Southampton, 28, D(CR)",27(1),2453,1.6,1.1,0.5,0.5,4.1,0.8,0.8,-,6.6,1,3,0.2,0.3,0.5,-,0.1,0.6,3,0.3,45.6,72.4,-,3.6,0.1
4,"275Christoph ZimmermannNorwich, 29, D(C)","Christoph Zimmermann Norwich, 29, D(C)",16(1),1431,1.9,1.1,0.5,0.5,5.1,0.5,1.1,-,6.6,-,1,0.4,0.1,0.5,-,0.2,0.4,1,0.1,38.9,79.0,-,2.7,-
5,"276Andy CarrollNewcastle, 33, FW","Andy Carroll Newcastle, 33, FW",4(15),618,0.3,0.1,0.9,0.1,1.3,0.3,0.1,-,6.6,-,4,0.8,0.6,0.7,0.3,0.6,1.3,4,0.6,10.9,61.1,0.1,0.4,-
6,"277Ryan BertrandSouthampton, 32, D(CL),M(L)","Ryan Bertrand Southampton, 32, D(CL),M(L)",31(1),2744,1.5,1.2,0.8,0.2,0.9,1,0.4,-,6.6,1,1,0.6,0.9,1,-,0.7,1.4,1,0.9,38.4,76.0,1.1,1.3,0.1
7,"278Arthur MasuakuWest Ham, 28, D(L),M(L)","Arthur Masuaku West Ham, 28, D(L),M(L)",10(7),935,2.4,0.8,0.6,0.4,1.3,0.9,0.3,-,6.6,-,1,0.3,0.4,0.5,-,1.1,0.9,1,0.4,29.6,80.3,0.3,1,-
8,"279Sebastian PrödlWatford, 34, D(C)","Sebastian Prödl Watford, 34, D(C)",1,57,-,-,1,-,4,-,-,-,6.59,-,-,2,-,-,-,-,-,-,-,11.0,54.5,-,-,-
9,"280Tariq LampteyChelsea, 21, D(R),M(R)","Tariq Lamptey Chelsea, 21, D(R),M(R)",0(1),31,2,-,-,-,-,-,-,-,6.59,-,-,-,1,1,-,-,-,-,1,7.0,100.0,-,-,-
0,"261Jóhann GudmundssonBurnley, 31, AM(CLR)","Jóhann Gudmundsson Burnley, 31, AM(CLR)",6(6),623,0.3,0.6,0.8,-,0.5,0.6,0.1,-,6.62,1,1,0.8,1.1,0.3,0.1,0.4,0.8,1,1.1,13.3,73.8,1.3,0.7,-
1,"262Giovani Lo CelsoTottenham, 26, M(CR),FW","Giovani Lo Celso Tottenham, 26, M(CR),FW",15(13),1489,1.8,0.3,1,-,0.6,1.7,0.1,-,6.62,-,2,0.6,1,1.6,-,1.1,1.5,2,1,34.5,85.0,0.4,1.5,0.1
2,"263AlissonLiverpool, 29, GK","Alisson Liverpool, 29, GK",29,2545,-,-,-,-,0.8,0.1,-,-,6.62,-,1,-,-,-,-,-,-,1,-,27.8,84.6,-,4,-
3,"264Lukasz FabianskiWest Ham, 37, GK","Lukasz Fabianski West Ham, 37, GK",25,2119,0.1,-,-,-,0.8,0.1,-,-,6.62,-,-,-,-,0.1,-,-,-,-,-,22.9,50.9,-,8,-
4,"265Cédric SoaresArsenal, 30, D(LR),M(R)","Cédric Soares Arsenal, 30, D(LR),M(R)",3(2),250,1.6,0.6,1.2,-,0.2,0.4,-,-,6.62,1,-,0.2,0.2,0.2,-,0.2,0.8,-,0.2,19.8,79.8,0.2,1.2,-
5,"266EdersonMan City, 28, GK","Ederson Man City, 28, GK",35,3072,0.1,0.1,0.1,-,0.7,0.1,-,-,6.62,-,-,-,-,0.1,-,-,-,-,-,25.7,86.0,-,3.5,-
6,"267Aaron CresswellWest Ham, 32, D(CL),M(L)","Aaron Cresswell West Ham, 32, D(CL),M(L)",31,2730,1.4,1.1,0.5,0.4,1.9,0.7,0.3,-,6.62,3,-,0.5,0.8,0.5,0.1,0.3,0.6,-,0.8,40.4,74.6,0.8,2.2,-
7,"268Tim KrulNorwich, 34, GK","Tim Krul Norwich, 34, GK",36,3240,-,-,-,-,0.9,-,-,1,6.61,-,-,-,-,0.2,-,-,-,-,-,38.4,64.2,-,6.9,-
8,"269Daniel JamesMan Utd, 24, AM(LR),FW","Daniel James Man Utd, 24, AM(LR),FW",26(7),2292,0.6,0.2,0.4,-,0.2,1.2,0.1,-,6.61,3,6,1.3,0.8,1.7,0.1,0.9,1.4,6,0.8,21.2,78.7,0.5,0.4,0.1
9,"270Steven BergwijnTottenham, 24, AM(CLR),FW","Steven Bergwijn Tottenham, 24, AM(CLR),FW",8(6),705,0.7,0.1,0.5,-,0.4,0.6,-,-,6.61,3,1,0.6,0.9,0.7,-,0.7,1.2,1,0.9,17.4,86.1,0.3,-,-
0,"251Craig CathcartWatford, 33, D(CR)","Craig Cathcart Watford, 33, D(CR)",28(1),2490,1.4,0.9,0.4,0.6,4.6,0.5,0.6,-,6.63,-,-,0.1,0.1,0.1,-,0.1,0.3,-,0.1,31.5,80.6,-,2.3,-
1,"252Ainsley Maitland-NilesArsenal, 24, D(LR),M(CLR)","Ainsley Maitland-Niles Arsenal, 24, D(LR),M(CLR)",15(5),1383,2.1,1.4,0.8,0.2,1.6,1.1,0.2,-,6.63,-,2,0.2,0.6,0.7,-,0.9,0.9,2,0.6,42.0,81.9,0.3,1.8,-
2,"253Kelechi IheanachoLeicester, 25, AM(C),FW","Kelechi Iheanacho Leicester, 25, AM(C),FW",12(8),963,0.2,0.2,1.2,-,0.4,0.4,0.1,-,6.63,5,3,1.8,0.8,0.7,0.5,1.1,2.6,3,0.8,13.4,80.9,-,0.3,0.1
3,"254Alex Oxlade ChamberlainLiverpool, 28, M(CLR)","Alex Oxlade Chamberlain Liverpool, 28, M(CLR)",17(13),1493,0.6,0.7,0.6,-,0.3,0.5,-,1,6.63,4,1,1.3,0.6,0.5,0.1,0.8,1.5,1,0.6,23.4,83.2,0.2,1.4,-
4,"255Tyrone MingsAston Villa, 29, D(CL)","Tyrone Mings Aston Villa, 29, D(CL)",33,2903,0.5,0.9,0.6,0.5,5.7,0.1,1.5,-,6.63,2,2,0.2,0.2,0.3,0.1,0.2,0.3,2,0.2,41.9,78.0,-,3.5,-
5,"256Douglas LuizAston Villa, 24, M(C)","Douglas Luiz Aston Villa, 24, M(C)",28(8),2608,1.3,1.0,1.4,-,1.3,1.3,0.4,-,6.63,3,2,1.1,0.5,1.0,-,0.6,1.1,2,0.5,33.6,82.6,0.2,2.6,-
6,"257Rui PatrícioWolves, 34, GK","Rui Patrício Wolves, 34, GK",38,3420,-,0.1,-,-,0.3,0.1,-,-,6.63,-,-,-,-,0.2,-,-,-,-,-,19.4,59.9,-,7.3,-
7,"258Will HughesWatford, 27, M(CLR)","Will Hughes Watford, 27, M(CLR)",27(3),2263,2.5,1.2,1.8,-,0.9,1.4,0.3,-,6.63,1,1,0.9,0.8,1.5,-,1.1,1.5,1,0.8,28.0,78.3,0.7,0.4,-
8,"259Jeffrey SchluppCrystal Palace, 29, D(L),M(CLR)","Jeffrey Schlupp Crystal Palace, 29, D(L),M(CLR)",11(6),1035,1.1,0.8,1,-,0.6,0.6,0.2,-,6.62,3,1,1.1,0.4,0.7,0.1,0.9,1.5,1,0.4,18.5,75.8,0.1,0.5,-
9,"260Issa DiopWest Ham, 25, D(C)","Issa Diop West Ham, 25, D(C)",31(1),2766,0.8,1.5,1,1,5.1,0.3,0.7,-,6.62,3,1,0.5,0.2,0.3,-,0.2,0.3,1,0.2,30.4,78.0,-,1.5,-
0,"241Dale StephensBrighton, 32, M(C)","Dale Stephens Brighton, 32, M(C)",28(5),2529,2.2,1.8,1.3,-,1.2,1.5,0.3,-,6.65,-,1,0.6,0.6,0.2,-,0.4,0.6,1,0.6,50.8,85.7,-,3.3,0.1
1,"242Erik PietersBurnley, 33, D(L),M(L)","Erik Pieters Burnley, 33, D(L),M(L)",21(3),1880,2.3,1.2,0.9,0.1,2.0,1.7,0.2,-,6.65,-,4,0.6,0.8,0.8,-,0.3,1,4,0.8,31.0,72.1,0.5,1.2,0.1
2,"243Paulo GazzanigaTottenham, 30, GK","Paulo Gazzaniga Tottenham, 30, GK",17(1),1612,-,0.1,0.1,-,0.4,-,-,-,6.65,-,-,-,0.1,0.1,-,-,-,-,0.1,25.3,59.4,-,4.2,-
3,"244Kieran TierneyArsenal, 24, D(CL),M(L)","Kieran Tierney Arsenal, 24, D(CL),M(L)",12(3),993,1.3,0.6,0.5,0.3,2.0,0.3,0.3,-,6.64,1,1,0.4,0.4,0.8,-,0.3,0.7,1,0.4,29.4,78.5,0.5,1.2,-
4,"245Kenny McLeanNorwich, 30, M(C)","Kenny McLean Norwich, 30, M(C)",32(5),2966,1.2,1.0,0.6,0.1,1.7,0.8,0.2,-,6.64,1,1,0.8,0.6,1.6,-,1,1.4,1,0.6,45.4,79.4,0.3,2.2,0.1
5,"246Neco WilliamsLiverpool, 21, D(R)","Neco Williams Liverpool, 21, D(R)",3(3),231,0.8,1.5,0.8,0.5,0.5,0.2,0.2,-,6.64,-,-,1.2,0.3,0.3,-,0.2,0.8,-,0.3,27.8,80.8,0.7,1.8,0.2
6,"247Héctor BellerínArsenal, 27, D(R),M(R)","Héctor Bellerín Arsenal, 27, D(R),M(R)",13(2),1159,1.3,1.3,1.0,0.1,1.6,1.2,0.3,-,6.64,1,-,0.5,0.2,0.2,0.1,0.8,0.9,-,0.2,38.0,82.1,0.1,0.9,-
7,"248Paul DummettNewcastle, 30, D(CL)","Paul Dummett Newcastle, 30, D(CL)",14(2),1229,1.7,1.4,0.3,0.3,3.8,0.4,0.6,1,6.64,-,-,0.1,0.3,0.4,-,0.1,0.2,-,0.3,28.1,71.7,0.1,1.6,-
8,"249Erik LamelaTottenham, 30, AM(CLR)","Erik Lamela Tottenham, 30, AM(CLR)",12(13),1212,1,0.3,1.2,-,0.4,0.8,0.1,-,6.64,2,1,1.2,0.7,1.0,-,1.7,1,1,0.7,21.6,83.7,0.3,0.7,0.1
9,"250Nacho MonrealArsenal, 36, D(CL),M(L)","Nacho Monreal Arsenal, 36, D(CL),M(L)",3,270,0.3,1.0,0.3,-,3.3,0.7,0.3,-,6.64,-,-,0.3,1.0,0.3,0.7,0.3,1,-,1.0,59.0,87.6,-,1.3,-
0,"231Stuart ArmstrongSouthampton, 30, AM(CLR)","Stuart Armstrong Southampton, 30, AM(CLR)",19(11),1716,1.1,0.4,0.8,-,0.7,1.0,0.1,-,6.66,5,3,1.5,0.6,0.7,0.1,0.8,1.8,3,0.6,19.3,77.0,0.2,0.4,0.1
1,"232Neal MaupayBrighton, 25, AM(C),FW","Neal Maupay Brighton, 25, AM(C),FW",30(7),2770,0.5,0.1,1.0,-,0.2,0.5,-,-,6.66,10,3,2.6,0.7,1.2,0.4,1.5,2.1,3,0.7,18.1,79.6,0.1,0.4,-
2,"233Martin KellyCrystal Palace, 32, D(CLR)","Martin Kelly Crystal Palace, 32, D(CLR)",17(2),1550,1.2,0.8,0.4,0.1,3.9,0.9,0.5,-,6.66,-,1,0.1,0.3,-,-,0.2,0.5,1,0.3,30.0,70.5,0.3,1.7,-
3,"234Adam MasinaWatford, 28, D(L),M(L)","Adam Masina Watford, 28, D(L),M(L)",20(6),1819,1.5,1.1,1.0,0.2,2.3,0.9,0.5,-,6.66,1,-,0.6,0.4,0.5,0.1,0.5,0.6,-,0.4,26.8,63.3,0.5,1.8,-
4,"235Kevin LongBurnley, 31, D(C)","Kevin Long Burnley, 31, D(C)",6(2),562,0.9,0.5,1.1,0.5,3.8,0.6,0.9,-,6.65,-,-,0.3,-,0.8,-,-,0.1,-,-,25.0,74.0,-,1.4,-
5,"236Gylfi SigurdssonEverton, 32, M(CLR),FW","Gylfi Sigurdsson Everton, 32, M(CLR),FW",28(7),2595,1.4,1.1,1.0,-,0.4,1.5,0.1,-,6.65,2,3,1.3,1.5,0.7,0.1,0.7,1.2,3,1.5,29.1,83.4,1.1,1.3,-
6,"237Jarrad BranthwaiteEverton, 19, D(C)","Jarrad Branthwaite Everton, 19, D(C)",2(2),299,2.0,0.5,1.0,0.3,2.8,0.5,0.8,-,6.65,-,-,-,-,0.8,-,-,0.8,-,-,55.8,87.9,-,3.3,-
7,"238Pascal GroßBrighton, 30, M(CR),FW","Pascal Groß Brighton, 30, M(CR),FW",22(7),1804,1.2,0.3,0.8,-,0.2,0.9,0.1,1,6.65,2,4,1,2,0.4,0.3,0.7,1.2,4,2,31.0,79.5,1.6,1.4,0.1
8,"239Bukayo SakaArsenal, 20, D(L),M(CLR)","Bukayo Saka Arsenal, 20, D(L),M(CLR)",19(7),1755,1.4,0.5,0.8,0.3,0.4,0.7,0.1,-,6.65,1,5,0.5,0.8,1.1,0.4,0.8,1.6,5,0.8,26.0,81.5,0.3,0.7,0.1
9,"240Davy PröpperBrighton, 30, M(C)","Davy Pröpper Brighton, 30, M(C)",32(3),2830,1.8,1.1,0.9,-,0.9,1.5,0.2,-,6.65,1,2,0.8,0.8,0.5,-,0.7,1.7,2,0.8,51.0,84.2,0.1,2.0,-
0,"221Matthew LowtonBurnley, 32, D(LR),M(R)","Matthew Lowton Burnley, 32, D(LR),M(R)",17,1530,2.4,1.6,0.8,0.3,3.1,0.6,0.4,-,6.67,-,1,0.1,0.6,0.6,-,0.1,0.8,1,0.6,32.4,68.6,0.5,2.4,-
1,"222Jeremy NgakiaWest Ham, 21, D(R)","Jeremy Ngakia West Ham, 21, D(R)",5,441,3,1.4,0.8,0.4,3.0,2.4,0.2,-,6.67,-,-,0.2,-,0.2,0.2,0.4,1.2,-,-,21.2,53.8,0.2,1.2,-
2,"223Mark NobleWest Ham, 35, M(C)","Mark Noble West Ham, 35, M(C)",32(1),2686,1.6,0.6,0.8,-,0.3,1.3,0.2,-,6.67,4,3,0.5,1.3,0.9,-,0.9,1.3,3,1.3,45.6,82.8,0.4,3.4,0.1
3,"224Abdoulaye DoucouréWatford, 29, M(C)","Abdoulaye Doucouré Watford, 29, M(C)",36(1),3167,1.7,0.8,1.4,-,0.8,1.1,0.2,1,6.67,4,2,1.6,1,0.4,0.2,0.8,1.6,2,1,45.4,78.4,0.1,1.1,-
4,"225Cheikhou KouyatéCrystal Palace, 32, D(CR),DMC","Cheikhou Kouyaté Crystal Palace, 32, D(CR),DMC",29(6),2538,1.9,1.2,0.9,-,1.6,0.6,0.3,-,6.67,1,1,0.7,0.3,0.8,0.1,0.7,1.3,1,0.3,24.3,73.9,0.1,0.7,-
5,"226Shane LongSouthampton, 35, AM(R),FW","Shane Long Southampton, 35, AM(R),FW",15(11),1399,0.7,0.2,1.2,0.1,0.6,0.5,-,-,6.67,2,2,1.3,0.8,1.0,0.5,0.8,2.2,2,0.8,14.7,54.1,0.1,0.1,-
6,"227Aaron MooyBrighton, 31, M(CLR)","Aaron Mooy Brighton, 31, M(CLR)",25(6),2090,1.2,0.7,0.4,-,0.9,1.1,0.2,-,6.67,2,2,1.1,1.3,0.4,-,1.4,1.4,2,1.3,31.3,81.4,0.7,1.4,0.1
7,"228Mathew RyanBrighton, 30, GK","Mathew Ryan Brighton, 30, GK",38,3420,-,0.1,-,-,0.6,0.1,-,-,6.67,-,-,-,-,0.1,-,-,0.1,-,-,32.1,79.2,-,6.8,-
8,"229Davinson SánchezTottenham, 25, D(C)","Davinson Sánchez Tottenham, 25, D(C)",27(2),2432,1.5,1.2,0.9,0.3,4.2,0.8,1,-,6.66,-,-,0.2,-,0.4,-,0.2,0.4,-,-,53.2,85.9,-,2.2,-
9,"230Joel WardCrystal Palace, 32, D(LR),DMC,M(R)","Joel Ward Crystal Palace, 32, D(LR),DMC,M(R)",27(2),2383,2.4,1.7,0.8,0.2,2.8,0.6,0.2,-,6.66,-,-,0.2,0.2,1.0,-,0.4,0.7,-,0.2,33.1,71.2,0.2,1.5,-
0,"211Gary CahillCrystal Palace, 36, D(C)","Gary Cahill Crystal Palace, 36, D(C)",25,2168,0.6,0.7,0.6,0.2,4.4,0.3,1,-,6.69,-,1,0.8,0.1,0.5,-,0.2,0.5,1,0.1,40.2,84.9,-,2.9,-
1,"212Eric GarcíaMan City, 21, D(C)","Eric García Man City, 21, D(C)",8(5),791,0.5,1.4,0.7,0.8,2.4,0.3,-,-,6.69,-,-,0.2,0.2,0.2,-,-,0.1,-,0.2,56.0,93.1,0.1,2.0,-
2,"213Vicente GuaitaCrystal Palace, 35, GK","Vicente Guaita Crystal Palace, 35, GK",35,3150,-,-,-,-,1.1,-,-,1,6.69,-,-,-,-,0.1,-,-,-,-,-,25.3,49.5,-,6.3,-
3,"214Steven AlzateBrighton, 23, DMC,M(L)","Steven Alzate Brighton, 23, DMC,M(L)",12(7),1183,1.7,0.7,0.9,0.1,0.6,0.5,0.2,-,6.69,-,-,0.7,0.7,0.9,0.2,1.5,1.3,-,0.7,31.7,83.9,0.2,0.7,0.1
4,"215Leander DendonckerWolves, 27, D(C),M(C)","Leander Dendoncker Wolves, 27, D(C),M(C)",32(6),2795,1.8,1,0.8,0.1,1.6,1,0.3,1,6.68,4,-,0.5,0.2,0.2,-,0.3,0.8,-,0.2,34.8,83.3,0.1,1.7,-
5,"216John StonesMan City, 27, D(CR)","John Stones Man City, 27, D(CR)",12(4),1119,1,0.6,0.3,0.6,1.9,0.1,0.2,-,6.68,-,-,0.4,0.1,0.1,0.1,-,0.2,-,0.1,64.7,94.2,-,3.3,-
6,"217Luka MilivojevicCrystal Palace, 31, DMC","Luka Milivojevic Crystal Palace, 31, DMC",28(3),2514,2,1.4,1.6,-,1.2,1.6,0.2,-,6.67,3,1,1,0.9,0.9,-,0.4,0.8,1,0.9,46.2,82.0,1,3.4,-
7,"218Scott DannCrystal Palace, 35, D(C)","Scott Dann Crystal Palace, 35, D(C)",14(2),1265,0.5,0.9,0.3,0.2,4.0,0.4,0.4,-,6.67,-,1,0.5,0.3,-,-,0.1,0.3,1,0.3,36.4,81.3,0.1,2.3,-
8,"219Ashley BarnesBurnley, 32, AM(CL),FW","Ashley Barnes Burnley, 32, AM(CL),FW",17(2),1362,0.5,0.3,1.8,-,0.4,0.3,0.1,-,6.67,6,-,2.1,0.3,2.1,0.7,1,2,-,0.3,13.2,54.6,-,0.2,-
9,"220JoelintonNewcastle, 25, AM(CLR),FW","Joelinton Newcastle, 25, AM(CLR),FW",32(6),2699,0.9,0.3,0.8,-,0.8,0.6,0.2,-,6.67,2,2,1.3,0.8,1.1,0.5,1.6,3.5,2,0.8,21.6,76.7,0.1,0.3,0.1
0,"201Jefferson LermaBournemouth, 27, D(R),DMC","Jefferson Lerma Bournemouth, 27, D(R),DMC",31(2),2709,1.6,1.7,1.3,-,1.5,0.8,0.4,-,6.7,1,2,0.9,0.4,1.1,-,0.5,0.9,2,0.4,42.4,78.7,-,2.9,-
