Player,Player.1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Goals,Assists,SpG,KeyP,Fouled,Off,Disp,UnsTch,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB
"315Robbie BradyBurnley, 30, D(L),M(CLR)","Robbie Brady Burnley, 30, D(L),M(CLR)",12(7),1055,1.2,0.5,1.1,-,1.3,1.2,-,-,6.51,1,1,0.8,0.4,0.5,0.1,0.5,0.9,1,0.4,18.5,69.2,0.4,1.3,-
"316Jack CorkBurnley, 32, DMC","Jack Cork Burnley, 32, DMC",15(1),1353,1.6,1.0,1.3,0.1,1.2,1.3,0.3,-,6.51,-,-,0.3,0.5,0.8,-,0.8,0.9,-,0.5,31.3,83.8,0.1,1.1,-
"317Robert SnodgrassWest Brom, 34, M(CLR)","Robert Snodgrass West Brom, 34, M(CLR)",6(2),527,2.1,0.1,1.0,0.1,1.5,0.8,0.3,-,6.51,-,-,0.5,0.4,1.6,0.1,0.5,1.0,-,0.4,16.5,78.8,0.4,0.5,-
"318Dara O'SheaWest Brom, 23, D(CR)","Dara O'Shea West Brom, 23, D(CR)",25(3),2102,1.6,1.6,0.5,0.4,3.5,0.9,0.6,-,6.51,-,-,0.1,0.2,0.6,-,0.1,0.4,-,0.2,28.9,63.6,-,3.2,-
"319David LuizArsenal, 35, D(C),DMC","David Luiz Arsenal, 35, D(C),DMC",17(3),1400,0.6,0.8,0.8,0.2,2.5,-,0.5,-,6.51,1,-,0.8,0.1,0.3,0.1,0.1,0.2,-,0.1,50.0,83.5,-,3.6,0.1
"320Ruben Loftus-CheekFulham, 26, M(CLR)","Ruben Loftus-Cheek Fulham, 26, M(CLR)",21(9),1913,0.8,0.2,0.9,-,0.5,0.5,0.1,-,6.5,1,-,1.2,0.6,1.7,0.1,1.4,2.4,-,0.6,23.6,80.7,0.1,0.3,-
"301Kean BryanSheff Utd, 25, D(C)","Kean Bryan Sheff Utd, 25, D(C)",12(1),1007,1.5,1,1,0.5,2.7,0.8,0.8,1,6.55,1,-,0.2,0.3,0.2,-,0.1,0.8,-,0.3,34.4,70.9,0.2,2.2,-
"302Ivan CavaleiroFulham, 28, AM(CLR),FW","Ivan Cavaleiro Fulham, 28, AM(CLR),FW",27(9),2476,0.6,0.5,0.8,0.1,0.4,0.6,-,-,6.54,3,-,1.3,1.2,0.8,0.3,1.4,2.8,-,1.2,20.1,76.2,0.8,0.7,-
"303Alexander IwobiEverton, 26, M(CLR)","Alexander Iwobi Everton, 26, M(CLR)",17(13),1543,0.9,0.5,0.4,-,0.4,0.4,-,-,6.54,1,2,0.5,0.5,0.4,-,0.9,1.4,2,0.5,19.8,83.0,0.3,0.8,-
"304Juan MataMan Utd, 34, AM(CLR)","Juan Mata Man Utd, 34, AM(CLR)",6(3),510,0.1,0.3,0.1,-,0.3,0.8,-,-,6.54,1,2,0.6,0.9,0.4,0.2,0.7,0.8,2,0.9,31.8,85.7,0.4,0.7,0.1
"305Jayden BogleSheff Utd, 21, D(R),M(R)","Jayden Bogle Sheff Utd, 21, D(R),M(R)",12(4),1109,2.1,0.9,0.9,0.1,1.1,1.2,0.3,-,6.53,2,-,1.1,0.3,0.6,0.1,1.1,1.3,-,0.3,19.5,76.0,0.1,0.3,-
"306Conor CoadyWolves, 29, D(CR),DMC","Conor Coady Wolves, 29, D(CR),DMC",37,3304,0.9,0.7,0.6,0.6,3.5,0.4,0.9,-,6.53,1,-,0.2,0.1,0.3,-,0.1,0.2,-,0.1,50.2,88.0,-,6.7,-
"307Jack StephensSouthampton, 28, D(CR)","Jack Stephens Southampton, 28, D(CR)",17(1),1539,1.9,1.6,0.4,0.8,3.2,1.2,0.8,-,6.52,-,-,0.3,0.3,0.5,-,0.3,0.7,-,0.3,57.1,81.2,-,3.3,-
"308Bobby De Cordova-ReidFulham, 29, M(CLR),FW","Bobby De Cordova-Reid Fulham, 29, M(CLR),FW",28(5),2383,0.9,0.6,1.2,0.1,1.0,0.6,0.2,-,6.52,5,2,1,0.4,0.6,0.1,0.7,1.5,2,0.4,23.0,77.5,0.2,0.8,-
"309Marvelous NakambaAston Villa, 28, DMC","Marvelous Nakamba Aston Villa, 28, DMC",9(4),751,1.7,1.3,0.6,-,0.6,0.4,0.4,-,6.52,-,-,0.2,0.2,0.8,-,0.2,0.6,-,0.2,21.9,84.2,-,0.6,-
"310Darren RandolphWest Ham, 35, GK","Darren Randolph West Ham, 35, GK",3,270,-,-,-,-,1.3,-,-,-,6.52,-,-,-,-,0.3,-,-,-,-,-,20.3,50.8,-,5.0,-
"291Ben DaviesTottenham, 29, D(CL),M(L)","Ben Davies Tottenham, 29, D(CL),M(L)",14(6),1340,1.4,0.9,1,0.4,2.3,0.9,0.3,-,6.56,-,1,0.2,0.4,0.7,0.1,0.1,0.3,1,0.4,32.3,79.2,0.3,1.1,-
"292Édouard MendyChelsea, 30, GK","Édouard Mendy Chelsea, 30, GK",31,2746,-,-,-,-,0.4,-,-,-,6.56,-,-,-,-,0.1,-,-,-,-,-,29.0,83.3,-,3.5,-
"293Rayan Aït-NouriWolves, 20, D(L),M(L)","Rayan Aït-Nouri Wolves, 20, D(L),M(L)",16(5),1406,1.4,0.7,0.7,-,0.9,0.7,-,-,6.56,1,1,0.7,0.7,0.9,-,0.9,1.4,1,0.7,29.9,86.1,0.6,0.8,-
"294Bernd LenoArsenal, 30, GK","Bernd Leno Arsenal, 30, GK",35,3132,-,-,0.1,-,0.7,-,-,1,6.56,-,-,-,-,0.1,-,-,-,-,-,28.5,76.8,-,3.2,-
"295Luka MilivojevicCrystal Palace, 31, DMC","Luka Milivojevic Crystal Palace, 31, DMC",27(4),2365,2.1,1.1,1.2,-,1.5,1.1,0.2,-,6.55,1,1,0.6,0.7,1.1,-,0.6,0.4,1,0.7,41.7,83.0,0.5,2.4,-
"296Aaron RamsdaleSheff Utd, 24, GK","Aaron Ramsdale Sheff Utd, 24, GK",38,3420,-,0.1,-,-,0.9,-,-,-,6.55,-,-,-,0.1,0.1,-,-,0.1,-,0.1,26.8,43.4,-,7.4,-
"297Nathan RedmondSouthampton, 28, AM(CLR),FW","Nathan Redmond Southampton, 28, AM(CLR),FW",17(12),1731,1,0.4,1.1,-,0.3,0.6,0.1,-,6.55,2,3,1.6,1,0.5,0.1,1.3,1.4,3,1,24.0,76.8,0.1,0.7,-
"298Joel WardCrystal Palace, 32, D(LR),DMC,M(R)","Joel Ward Crystal Palace, 32, D(LR),DMC,M(R)",25(1),2255,1.7,1.6,1.2,0.5,3.1,0.7,0.3,-,6.55,-,1,0.1,0.3,0.5,-,0.3,0.9,1,0.3,31.5,71.9,0.1,1.3,-
"299Rúnar RúnarssonArsenal, 27, GK","Rúnar Rúnarsson Arsenal, 27, GK",0(1),16,-,-,-,-,-,-,-,-,6.55,-,-,-,-,-,-,-,-,-,-,9.0,55.6,-,-,-
"300Kasper SchmeichelLeicester, 35, GK","Kasper Schmeichel Leicester, 35, GK",38,3420,-,-,-,-,0.4,-,-,1,6.55,-,-,-,-,0.1,-,-,-,-,-,28.1,70.4,-,6.4,-
"281Curtis JonesLiverpool, 21, AM(C)","Curtis Jones Liverpool, 21, AM(C)",13(11),1178,0.7,0.8,0.8,-,0.4,0.5,-,-,6.58,1,2,0.8,0.5,0.5,-,1.3,0.9,2,0.5,40.3,92.2,-,0.9,-
"282Nemanja MaticMan Utd, 33, DMC","Nemanja Matic Man Utd, 33, DMC",12(8),1102,1.3,1.1,0.7,0.1,0.5,0.9,0.3,-,6.58,-,-,0.3,0.4,0.3,-,0.4,0.7,-,0.4,50.8,90.3,0.1,2.7,-
"283Scott DannCrystal Palace, 35, D(C)","Scott Dann Crystal Palace, 35, D(C)",15,1350,0.4,1.2,0.4,0.1,3.8,0.5,0.9,-,6.58,1,-,0.3,0.1,0.3,-,-,0.3,-,0.1,42.7,80.9,-,2.4,-
"284Nathan AkéMan City, 27, D(CL),DMC","Nathan Aké Man City, 27, D(CL),DMC",9(1),797,1.0,0.9,0.8,0.5,2.2,0.1,0.1,-,6.57,1,-,0.3,0.1,0.4,-,0.1,0.2,-,0.1,75.1,93.1,-,1.4,-
"285Joe RodonTottenham, 24, D(C)","Joe Rodon Tottenham, 24, D(C)",8(4),732,1.2,1.8,0.2,0.4,2.9,0.1,0.7,-,6.57,-,-,0.1,-,0.7,0.1,-,0.2,-,-,35.8,88.1,-,1.3,-
"286Neal MaupayBrighton, 25, AM(C),FW","Neal Maupay Brighton, 25, AM(C),FW",29(4),2519,0.6,0.4,0.8,-,0.2,0.6,-,-,6.57,8,2,2.2,1,1.3,0.4,1.5,2.2,2,1,19.7,78.5,0.2,0.4,0.1
"287Gary CahillCrystal Palace, 36, D(C)","Gary Cahill Crystal Palace, 36, D(C)",20,1800,0.7,0.7,0.6,0.3,4.3,0.2,1.1,-,6.57,1,1,0.6,0.4,0.2,0.2,0.1,0.4,1,0.4,37.3,82.4,-,2.4,-
"288Cheikhou KouyatéCrystal Palace, 32, D(CR),DMC","Cheikhou Kouyaté Crystal Palace, 32, D(CR),DMC",35(1),3123,1.6,0.9,1.0,0.4,3.4,0.5,0.7,-,6.57,1,-,0.2,0.2,0.4,-,0.2,0.5,-,0.2,35.5,77.2,-,2.5,-
"289Theo WalcottSouthampton, 33, M(CLR),FW","Theo Walcott Southampton, 33, M(CLR),FW",20(1),1629,1.1,0.7,0.6,-,0.1,1.0,-,-,6.56,3,3,1.4,0.8,1.4,0.4,1.3,2.7,3,0.8,19.0,74.4,0.2,0.3,-
"290BernardoBrighton, 27, D(LR),M(L)","Bernardo Brighton, 27, D(LR),M(L)",2(1),204,3.3,0.3,0.3,-,0.3,0.7,-,-,6.56,-,-,1.3,0.7,0.3,-,1.3,0.3,-,0.7,24.7,74.3,0.3,0.7,-
"271Benjamin WhiteBrighton, 24, D(CR),DMC","Benjamin White Brighton, 24, D(CR),DMC",36,3195,1.4,1.7,0.8,0.3,1.4,0.9,0.6,-,6.6,-,-,0.3,0.2,0.3,-,0.3,0.6,-,0.2,48.5,83.2,-,2.3,-
"272Ayoze PérezLeicester, 28, AM(CLR),FW","Ayoze Pérez Leicester, 28, AM(CLR),FW",15(10),1333,1.3,0.4,1.2,-,0.3,1.4,-,-,6.6,2,1,1.2,0.9,0.9,0.3,1,1.5,1,0.9,18.8,76.8,0.3,0.2,-
"273Jamaal LascellesNewcastle, 28, D(C)","Jamaal Lascelles Newcastle, 28, D(C)",19,1628,0.7,0.6,0.9,0.4,4.4,0.2,0.9,-,6.6,2,-,0.8,0.2,0.5,-,0.1,0.3,-,0.2,32.7,80.2,-,2.2,-
"274Mario LeminaFulham, 28, DMC","Mario Lemina Fulham, 28, DMC",19(9),1705,2.2,1.1,1.1,0.1,0.7,0.8,0.2,-,6.6,1,-,0.7,0.4,0.5,-,0.8,0.9,-,0.4,31.7,83.5,-,1.7,-
"275Robert SánchezBrighton, 24, GK","Robert Sánchez Brighton, 24, GK",27,2430,-,-,0.1,-,0.5,-,-,-,6.59,-,-,-,-,0.2,-,-,0.1,-,-,36.4,70.9,-,6.9,-
"276Saïd BenrahmaWest Ham, 26, AM(CLR)","Saïd Benrahma West Ham, 26, AM(CLR)",14(16),1392,0.8,0.3,0.5,-,0.1,0.7,-,-,6.59,1,6,1.2,0.9,0.5,0.1,1.1,1.6,6,0.9,16.1,82.0,0.3,0.3,-
"277Naby KeïtaLiverpool, 27, M(C)","Naby Keïta Liverpool, 27, M(C)",7(3),524,1.1,0.9,1.3,-,0.5,1,-,-,6.59,-,-,0.9,0.6,0.2,-,0.8,1.4,-,0.6,35.6,87.9,0.1,0.7,0.1
"278Robin KochLeeds, 25, D(C),DMC","Robin Koch Leeds, 25, D(C),DMC",13(4),1131,1.6,1.6,1.0,0.1,1.8,0.5,0.7,-,6.59,-,-,0.5,0.2,0.5,-,-,0.3,-,0.2,45.2,86.2,-,2.5,-
"279Maximilian KilmanWolves, 24, D(C)","Maximilian Kilman Wolves, 24, D(C)",14(4),1307,1.2,1.1,1.1,0.2,2.2,0.3,0.4,-,6.59,-,1,0.4,0.3,0.2,-,0.1,0.2,1,0.3,41.4,87.9,-,0.9,-
"280John EganSheff Utd, 29, D(C)","John Egan Sheff Utd, 29, D(C)",30(1),2630,1.3,1.3,0.9,0.3,4.2,0.5,1,-,6.58,-,1,0.5,0.1,0.3,-,-,0.2,1,0.1,36.2,81.7,-,3.0,-
"261Darnell FurlongWest Brom, 26, D(CR),M(R)","Darnell Furlong West Brom, 26, D(CR),M(R)",32(3),2932,1.3,1.4,1,0.2,2.2,0.7,0.5,1,6.62,1,3,0.7,0.5,0.9,0.1,0.3,1.1,3,0.5,23.3,59.4,0.5,1.2,-
"262Georginio WijnaldumLiverpool, 31, M(CLR)","Georginio Wijnaldum Liverpool, 31, M(CLR)",34(4),2947,0.6,0.7,0.4,-,0.4,0.6,0.1,-,6.62,2,-,0.8,0.6,0.6,-,0.7,1.0,-,0.6,46.2,92.7,-,1.2,-
"263Giovani Lo CelsoTottenham, 26, M(CR),FW","Giovani Lo Celso Tottenham, 26, M(CR),FW",11(7),950,1.6,0.4,1.1,0.1,0.3,1.1,0.1,-,6.62,1,1,0.8,0.8,1.1,-,0.8,1.2,1,0.8,31.7,81.4,0.2,1.1,0.1
"264Ezgjan AlioskiLeeds, 30, D(L),M(CLR)","Ezgjan Alioski Leeds, 30, D(L),M(CLR)",29(7),2466,2.1,0.6,1.1,0.1,1.1,1.2,0.1,-,6.62,2,3,0.7,0.8,1.2,0.2,0.4,1.0,3,0.8,38.3,79.5,0.4,0.8,-
"265Daniel JamesMan Utd, 24, AM(LR),FW","Daniel James Man Utd, 24, AM(LR),FW",11(4),914,1.0,-,0.9,-,0.3,1,0.1,-,6.61,3,1,1.1,0.7,0.9,0.3,0.6,1.4,1,0.7,19.2,81.3,0.1,0.1,-
"266EdersonMan City, 28, GK","Ederson Man City, 28, GK",36,3240,0.1,-,-,-,0.5,-,-,-,6.61,-,1,-,-,0.1,-,-,0.1,1,-,26.6,81.2,-,4.4,-
"267Ricardo PereiraLeicester, 28, D(LR),M(R)","Ricardo Pereira Leicester, 28, D(LR),M(R)",10(5),959,2.1,1,1.2,0.1,1.3,1.5,0.1,-,6.61,-,1,0.5,0.7,0.5,-,1.1,1.4,1,0.7,30.9,77.1,0.3,0.7,0.1
"268Jack RobinsonSheff Utd, 28, D(CL),M(L)","Jack Robinson Sheff Utd, 28, D(CL),M(L)",9(2),875,1.3,0.8,0.9,0.4,3.7,0.5,0.4,-,6.61,-,1,0.5,0.1,0.5,-,0.2,0.5,1,0.1,38.5,82.0,-,1.4,-
"269Fabio CarvalhoFulham, 19, AM(C)","Fabio Carvalho Fulham, 19, AM(C)",3(1),255,2.3,0.3,1,-,-,1,-,-,6.61,1,-,2.3,0.5,0.5,-,2.3,2.8,-,0.5,21.3,78.8,-,-,-
"270Kai HavertzChelsea, 22, M(CR),FW","Kai Havertz Chelsea, 22, M(CR),FW",18(9),1522,0.7,0.1,1,0.1,0.7,0.8,-,-,6.6,4,3,1.2,0.7,0.6,0.3,1,2.0,3,0.7,28.4,84.9,-,0.4,-
"251Federico FernándezNewcastle, 33, D(C)","Federico Fernández Newcastle, 33, D(C)",24,2083,1.2,0.7,0.6,0.7,6.0,0.2,1.3,1,6.64,-,-,0.2,0.3,0.6,-,0.1,0.3,-,0.3,34.8,80.7,0.1,2.3,-
"252Matt RitchieNewcastle, 32, D(L),M(CLR)","Matt Ritchie Newcastle, 32, D(L),M(CLR)",15(3),1352,0.6,0.7,0.7,0.1,2.3,0.8,0.1,1,6.64,-,2,0.6,1.4,1.1,0.1,0.3,0.7,2,1.4,24.3,76.0,1.8,1.4,-
"253Mason HolgateEverton, 25, D(CR),DMC,M(R)","Mason Holgate Everton, 25, D(CR),DMC,M(R)",26(2),2290,2,1.3,1,0.3,2.9,1.1,0.5,-,6.63,1,-,0.2,0.3,1,-,0.2,0.5,-,0.3,39.4,79.1,0.2,3.1,-
"254Conor GallagherWest Brom, 22, AM(C)","Conor Gallagher West Brom, 22, AM(C)",28(2),2532,2.7,0.9,1.4,-,0.9,2.3,0.3,-,6.63,2,2,1,0.7,2.1,-,1.2,2.1,2,0.7,29.7,81.5,0.4,1.6,-
"255Ashley WestwoodBurnley, 32, DMC","Ashley Westwood Burnley, 32, DMC",38,3411,0.6,1.2,0.9,-,0.8,0.8,0.2,-,6.63,3,3,0.5,1.4,1.1,-,0.3,0.8,3,1.4,53.8,78.7,1.2,4.2,-
"256Lucas MouraTottenham, 29, AM(CLR),FW","Lucas Moura Tottenham, 29, AM(CLR),FW",14(16),1403,1.1,0.6,0.8,-,0.3,0.7,-,-,6.63,3,4,0.6,0.5,1.6,0.1,1.2,1.6,4,0.5,19.0,75.2,0.2,0.2,-
"257EmersonChelsea, 27, D(L),M(L)","Emerson Chelsea, 27, D(L),M(L)",0(2),89,1.5,0.5,1.5,-,3.0,1,-,-,6.63,-,-,-,-,-,-,-,1,-,-,28.0,73.2,0.5,1.5,-
"258Benjamin MendyMan City, 27, D(L),DMC,M(L)","Benjamin Mendy Man City, 27, D(L),DMC,M(L)",11(2),955,1,0.4,1.1,0.2,0.7,1.2,0.4,-,6.63,2,1,0.5,0.4,-,0.1,0.4,1.2,1,0.4,42.5,83.9,0.3,1.1,-
"259Ola AinaFulham, 25, D(CLR),M(LR)","Ola Aina Fulham, 25, D(CLR),M(LR)",31,2671,1.2,1.5,1,0.4,2.6,0.7,0.2,-,6.63,2,1,0.5,0.5,0.8,0.1,0.3,0.9,1,0.5,47.2,78.9,0.3,2.1,-
"260Lukasz FabianskiWest Ham, 37, GK","Lukasz Fabianski West Ham, 37, GK",35,3150,-,-,-,-,0.6,-,-,-,6.62,-,-,-,-,0.1,-,-,-,-,-,24.5,54.9,-,7.5,-
"241WillianArsenal, 33, AM(CLR)","Willian Arsenal, 33, AM(CLR)",16(9),1407,0.5,0.3,0.2,-,0.2,0.4,-,-,6.65,1,5,0.8,1.3,0.8,0.2,0.6,0.9,5,1.3,27.1,87.5,1.1,1.4,-
"242Séamus ColemanEverton, 33, D(CR),M(R)","Séamus Coleman Everton, 33, D(CR),M(R)",18(7),1612,1.6,0.5,0.5,0.1,1.3,0.4,0.2,-,6.65,-,3,0.5,0.8,0.7,-,0.9,1.1,3,0.8,25.8,82.9,0.4,1.3,-
"243Leander DendonckerWolves, 27, D(C),M(C)","Leander Dendoncker Wolves, 27, D(C),M(C)",28(5),2501,1.6,0.8,0.9,0.2,1.5,0.9,0.5,1,6.65,1,-,0.9,0.5,0.4,0.1,0.3,0.9,-,0.5,36.5,85.5,0.1,1.3,-
"244Jeffrey SchluppCrystal Palace, 29, D(L),M(CLR)","Jeffrey Schlupp Crystal Palace, 29, D(L),M(CLR)",15(12),1426,1.1,0.8,0.9,-,0.4,0.6,0.3,-,6.65,2,3,0.7,0.7,0.6,-,1.5,1.2,3,0.7,14.8,73.9,0.2,0.4,-
"245Dean HendersonMan Utd, 25, GK","Dean Henderson Man Utd, 25, GK",12(1),1125,0.1,-,-,-,0.5,0.1,-,-,6.65,-,-,-,-,-,-,-,-,-,-,19.8,67.4,-,2.2,-
"246Jordan PickfordEverton, 28, GK","Jordan Pickford Everton, 28, GK",31,2743,-,0.1,-,-,1.3,0.1,-,-,6.65,-,-,-,-,0.1,-,-,-,-,-,32.2,61.8,-,8.5,-
"247Ahmed El MohamadyAston Villa, 34, D(R),M(R)","Ahmed El Mohamady Aston Villa, 34, D(R),M(R)",8(6),832,1.2,1.2,0.4,0.1,1.6,0.4,0.2,-,6.64,-,-,0.6,0.9,0.2,-,0.2,0.4,-,0.9,33.6,78.1,0.7,2.1,-
"248Issa DiopWest Ham, 25, D(C)","Issa Diop West Ham, 25, D(C)",15(3),1379,1.1,1.2,0.4,0.6,3.2,0.6,1.2,1,6.64,2,-,0.2,0.1,0.4,0.1,0.1,0.3,-,0.1,32.4,82.2,-,1.0,-
"249Sergio AgüeroMan City, 33, AM(CL),FW","Sergio Agüero Man City, 33, AM(CL),FW",7(5),559,0.3,0.2,0.2,-,-,0.8,-,-,6.64,4,1,1.6,0.6,0.6,0.1,0.9,1.3,1,0.6,14.3,80.7,0.1,0.2,-
"250Ciaran ClarkNewcastle, 32, D(CL)","Ciaran Clark Newcastle, 32, D(CL)",21(1),1893,1.1,1.3,0.7,0.5,4.5,0.3,0.9,1,6.64,1,-,0.4,0.1,0.5,-,-,0.5,-,0.1,35.9,81.5,-,1.8,-
"231Gylfi SigurdssonEverton, 32, M(CLR),FW","Gylfi Sigurdsson Everton, 32, M(CLR),FW",24(12),2256,0.8,0.9,0.6,-,0.5,0.9,0.1,-,6.67,6,5,1.4,1.2,0.5,-,0.8,1.3,5,1.2,23.7,85.0,0.8,0.7,-
"232Danny WelbeckBrighton, 31, AM(CLR),FW","Danny Welbeck Brighton, 31, AM(CLR),FW",17(7),1547,0.5,0.3,0.8,-,0.5,0.5,-,-,6.66,6,1,1.5,0.9,0.7,0.2,0.5,2.1,1,0.9,10.8,81.0,-,0.1,-
"233Paul DummettNewcastle, 30, D(CL)","Paul Dummett Newcastle, 30, D(CL)",14(1),1256,1.1,1.1,0.6,0.3,4.7,0.5,0.5,-,6.66,1,-,0.2,0.3,0.3,-,-,0.6,-,0.3,34.5,74.1,0.3,2.1,-
"234Jacob MurphyNewcastle, 27, D(R),M(LR)","Jacob Murphy Newcastle, 27, D(R),M(LR)",17(9),1621,1.5,0.5,0.9,0.1,0.9,1.0,0.1,-,6.66,2,3,1.2,0.7,0.9,0.1,1,1.3,3,0.7,17.6,70.5,0.6,0.8,-
"235Mohammed SalisuSouthampton, 23, D(CL)","Mohammed Salisu Southampton, 23, D(CL)",8(4),843,3.2,1.4,0.8,0.5,2.4,0.8,0.4,-,6.66,-,-,0.3,0.2,0.3,-,0.6,1.0,-,0.2,30.0,80.0,-,0.9,-
"236Eric DierTottenham, 28, D(CR),DMC","Eric Dier Tottenham, 28, D(CR),DMC",28,2520,0.8,0.8,0.6,0.4,4.4,0.3,1.1,-,6.66,-,-,0.5,0.2,0.4,-,-,0.4,-,0.2,63.9,83.2,-,4.0,-
"237Gabriel MartinelliArsenal, 20, AM(L),FW","Gabriel Martinelli Arsenal, 20, AM(L),FW",7(7),588,0.5,0.6,0.6,-,0.2,0.4,-,-,6.66,2,1,1.4,0.6,0.3,0.1,0.5,1.6,1,0.6,10.3,79.9,0.4,0.2,-
"238Harrison ReedFulham, 27, D(R),M(CR)","Harrison Reed Fulham, 27, D(R),M(CR)",26(5),2251,2.0,1.6,1.3,-,0.8,1.4,0.4,-,6.66,-,2,0.4,0.7,0.8,-,0.3,0.6,2,0.7,47.6,86.2,0.2,1.5,-
"239Miguel AlmirónNewcastle, 28, AM(CLR),FW","Miguel Almirón Newcastle, 28, AM(CLR),FW",28(6),2438,1.4,0.7,0.5,-,0.5,1.2,0.1,-,6.66,4,1,1.0,0.9,1.1,0.2,1,1.4,1,0.9,25.0,82.0,0.2,1.0,0.1
"240Luke ThomasLeicester, 20, D(L),M(L)","Luke Thomas Leicester, 20, D(L),M(L)",12(2),972,1.6,1.1,0.7,0.1,1.4,0.5,0.1,-,6.65,1,-,0.5,0.5,1.1,-,0.9,1.1,-,0.5,28.9,71.6,0.2,0.7,-
"221Mbaye DiagneWest Brom, 30, FW","Mbaye Diagne West Brom, 30, FW",14(2),1194,0.3,0.1,1.1,-,1.0,0.2,0.1,-,6.68,3,2,1.6,0.6,1.4,1.1,1.2,1.6,2,0.6,14.7,62.1,0.1,0.5,-
"222Oliver McBurnieSheff Utd, 25, AM(CL),FW","Oliver McBurnie Sheff Utd, 25, AM(CL),FW",12(11),1319,0.7,0.3,1.0,-,1.3,0.5,0.1,-,6.67,1,-,1.3,0.7,1.1,0.2,0.7,1.0,-,0.7,19.1,57.5,-,0.3,-
"223João MoutinhoWolves, 35, M(C)","João Moutinho Wolves, 35, M(C)",28(5),2534,2.3,1.4,1.3,0.1,0.7,1.7,0.1,-,6.67,1,1,0.4,1.4,0.7,-,0.3,0.5,1,1.4,52.2,88.4,0.8,2.3,0.1
"224Douglas LuizAston Villa, 24, M(C)","Douglas Luiz Aston Villa, 24, M(C)",32(1),2790,1.5,1.3,1.8,-,1.2,1.2,0.5,-,6.67,-,2,0.8,0.6,1.5,-,0.5,0.8,2,0.6,42.9,85.7,0.1,3.3,-
"225Edinson CavaniMan Utd, 35, AM(LR),FW","Edinson Cavani Man Utd, 35, AM(LR),FW",13(13),1372,0.5,0.2,0.8,-,0.4,0.4,-,-,6.67,10,3,1.3,0.5,0.5,0.2,0.4,1.2,3,0.5,12.9,77.4,-,0.5,0.1
"226RodrigoLeeds, 31, M(CLR),FW","Rodrigo Leeds, 31, M(CLR),FW",14(12),1291,0.5,0.2,0.7,-,0.6,0.7,-,-,6.67,7,2,1.8,1.2,0.3,0.1,0.8,1.5,2,1.2,21.5,76.9,0.1,1.0,0.2
"227Craig DawsonWest Ham, 32, D(CR)","Craig Dawson West Ham, 32, D(CR)",22,1926,0.5,1.5,0.6,0.2,4.0,0.3,1,2,6.67,3,-,0.7,0.1,0.5,0.1,-,0.2,-,0.1,34.7,79.7,-,2.7,-
"228Charlie TaylorBurnley, 28, D(L),M(L)","Charlie Taylor Burnley, 28, D(L),M(L)",28(1),2429,1.7,1.0,0.3,0.2,2.5,0.7,0.7,-,6.67,-,1,0.1,0.4,1.2,-,0.3,0.7,1,0.4,34.1,70.3,0.7,2.1,-
"229Davinson SánchezTottenham, 25, D(C)","Davinson Sánchez Tottenham, 25, D(C)",17(1),1487,2.2,0.8,1.2,0.9,4.7,0.6,0.7,1,6.67,-,-,0.3,0.1,0.4,-,0.2,0.4,-,0.1,57.0,84.5,-,2.1,-
"230Isaac HaydenNewcastle, 27, D(C),DMC","Isaac Hayden Newcastle, 27, D(C),DMC",22(2),1946,2.2,1.8,1.6,0.1,1.9,0.9,0.4,-,6.67,-,-,0.7,0.3,0.7,-,0.6,0.8,-,0.3,32.8,80.7,0.1,1.2,-
"211Tyrick MitchellCrystal Palace, 22, D(L)","Tyrick Mitchell Crystal Palace, 22, D(L)",19,1710,3.4,1.1,0.4,0.2,2.4,0.9,0.5,-,6.7,1,1,0.1,0.2,0.6,-,0.6,0.8,1,0.2,31.5,69.8,0.3,1.5,-
"212Ethan AmpaduSheff Utd, 21, D(C),DMC","Ethan Ampadu Sheff Utd, 21, D(C),DMC",23(2),2091,2.3,2,1.0,0.2,3.3,1.0,0.8,1,6.7,-,-,0.3,0.4,1.0,-,0.2,0.6,-,0.4,40.2,82.3,0.2,2.2,-
"213Tammy AbrahamChelsea, 24, FW","Tammy Abraham Chelsea, 24, FW",12(10),1036,0.3,0.2,1.0,-,0.8,0.3,-,-,6.7,6,1,1.5,0.4,0.5,0.2,0.3,1.5,1,0.4,9.3,72.7,-,0.1,-
"214Fraser ForsterSouthampton, 34, GK","Fraser Forster Southampton, 34, GK",8,720,0.1,-,0.1,-,2.0,0.1,-,-,6.7,-,-,-,-,0.4,-,-,-,-,-,30.4,51.9,-,4.5,-
"215Victor LindelöfMan Utd, 27, D(CR)","Victor Lindelöf Man Utd, 27, D(CR)",29,2586,0.8,1.1,0.8,0.6,3.3,0.4,0.5,-,6.69,1,1,0.1,0.2,0.3,-,0.1,0.3,1,0.2,64.3,89.8,-,2.1,-
"216Kenny TeteFulham, 26, D(CR),M(R)","Kenny Tete Fulham, 26, D(CR),M(R)",18(4),1483,2.2,1.2,1.3,0.2,2.0,0.4,0.2,-,6.69,-,1,0.3,0.8,0.8,0.1,0.4,0.9,1,0.8,31.4,75.5,1,1.5,-
