Player,Player.1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Goals,Assists,SpG,KeyP,Fouled,Off,Disp,UnsTch,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB
"471Yan ValerySouthampton, 23, D(CR),M(R)","Yan Valery Southampton, 23, D(CR),M(R)",1(2),101,1.7,0.7,0.3,-,1.7,1.3,-,-,6.15,-,-,0.7,0.3,0.3,-,1.7,2,-,0.3,15.0,88.9,0.7,0.3,-
"472Islam SlimaniLeicester, 33, FW","Islam Slimani Leicester, 33, FW",0(1),19,-,-,-,-,-,-,-,-,6.14,-,-,1,1,-,-,-,1,-,1,9.0,66.7,-,-,-
"473Kyle EdwardsWest Brom, 24, AM(L)","Kyle Edwards West Brom, 24, AM(L)",1(4),114,0.6,0.2,0.2,-,-,-,-,-,6.14,-,-,0.4,0.2,0.2,-,0.2,0.2,-,0.2,6.8,91.2,-,-,-
"474Denis OdoiFulham, 33, D(CLR),DMC","Denis Odoi Fulham, 33, D(CLR),DMC",3,270,1,1.7,2.3,1,1.7,1,0.3,-,6.13,-,-,0.7,0.3,1.3,0.3,0.7,0.3,-,0.3,56.0,82.7,0.3,2.3,-
"475Hal Robson-KanuWest Brom, 32, AM(LR),FW","Hal Robson-Kanu West Brom, 32, AM(LR),FW",2(17),549,0.1,0.1,0.8,-,0.4,0.1,-,-,6.13,2,-,0.7,0.3,0.5,0.2,0.8,1.6,-,0.3,4.2,70.9,-,0.1,-
"476José IzquierdoBrighton, 29, AM(L)","José Izquierdo Brighton, 29, AM(L)",0(1),8,-,-,-,-,-,-,-,-,6.13,-,-,1,-,-,-,-,1,-,-,7.0,85.7,-,-,-
"477Andi ZeqiriBrighton, 22, FW","Andi Zeqiri Brighton, 22, FW",0(9),165,0.3,-,0.2,-,0.2,0.1,-,-,6.13,-,-,0.8,0.1,0.2,-,0.1,0.9,-,0.1,4.2,52.6,0.1,-,-
"478Neeskens KebanoFulham, 30, AM(CLR)","Neeskens Kebano Fulham, 30, AM(CLR)",1(4),117,-,-,0.6,-,-,0.2,-,-,6.12,-,-,1.2,0.2,0.2,0.2,0.4,1.4,-,0.2,7.2,88.9,-,-,-
"479Mathew RyanBrighton, 30, GK","Mathew Ryan Brighton, 30, GK",11,990,0.1,-,0.1,-,1.1,-,-,-,6.12,-,-,-,-,-,-,-,-,-,-,31.8,77.1,-,5.2,-
"480Romaine SawyersWest Brom, 30, M(CL)","Romaine Sawyers West Brom, 30, M(CL)",17(2),1490,1.6,0.9,0.9,0.1,0.5,1.5,0.2,1,6.12,-,-,0.2,0.3,0.7,-,0.5,0.7,-,0.3,37.9,85.3,0.1,2.2,0.1
"461Shkodran MustafiArsenal, 30, D(CR)","Shkodran Mustafi Arsenal, 30, D(CR)",0(3),45,0.3,-,0.3,-,1,-,-,-,6.17,-,-,-,-,-,-,-,-,-,-,16.3,87.8,-,0.7,-
"462Rhian BrewsterSheff Utd, 22, FW","Rhian Brewster Sheff Utd, 22, FW",12(15),1125,0.3,0.2,0.7,-,0.1,0.4,0.1,-,6.17,-,-,0.9,0.4,0.5,0.1,0.7,0.7,-,0.4,7.7,74.4,0.1,0.3,0.1
"463Kepa ArrizabalagaChelsea, 27, GK","Kepa Arrizabalaga Chelsea, 27, GK",6(1),585,-,-,-,-,0.6,0.1,-,-,6.17,-,-,-,-,-,-,-,0.3,-,-,29.3,78.5,-,5.1,-
"464Demarai GrayLeicester, 25, AM(CLR),FW","Demarai Gray Leicester, 25, AM(CLR),FW",0(1),18,1,-,-,-,-,-,-,-,6.17,-,-,1,-,-,-,-,1,-,-,9.0,77.8,-,1,-
"465Hannibal MejbriMan Utd, 19, Midfielder","Hannibal Mejbri Man Utd, 19, Midfielder",0(1),8,-,-,-,-,-,-,-,-,6.17,-,-,-,-,1,-,-,-,-,-,3.0,100.0,-,-,-
"466Nathan BroadheadEverton, 24, AM(L),FW","Nathan Broadhead Everton, 24, AM(L),FW",0(1),2,1,-,-,-,-,-,-,-,6.17,-,-,-,-,-,-,-,-,-,-,2.0,100.0,-,-,-
"467Jake LivermoreWest Brom, 32, D(C),DMC","Jake Livermore West Brom, 32, D(C),DMC",15(3),1249,1.8,0.9,1.7,-,1.3,0.9,0.3,1,6.17,-,-,0.3,0.3,0.4,-,0.4,0.8,-,0.3,21.3,71.0,0.1,0.9,-
"468Charlie AustinWest Brom, 32, FW","Charlie Austin West Brom, 32, FW",0(5),134,0.8,0.6,-,-,0.8,0.4,-,-,6.16,-,-,0.6,-,0.4,0.2,0.4,0.8,-,-,6.6,69.7,-,0.6,-
"469Karlan GrantWest Brom, 24, AM(CL),FW","Karlan Grant West Brom, 24, AM(CL),FW",14(7),1133,0.2,0.2,0.4,-,0.7,0.1,-,-,6.15,1,-,0.8,0.1,0.6,0.3,0.8,1.5,-,0.1,10.3,75.1,-,0.1,-
"470Eric GarcíaMan City, 21, D(C)","Eric García Man City, 21, D(C)",3(3),382,1.3,0.7,0.7,0.5,1.7,0.3,0.2,-,6.15,-,-,0.3,0.2,0.3,-,-,0.7,-,0.2,56.5,95.3,-,1.7,-
"451Reiss NelsonArsenal, 22, M(LR)","Reiss Nelson Arsenal, 22, M(LR)",0(2),70,0.5,0.5,1,-,0.5,-,-,-,6.2,-,-,0.5,-,0.5,-,1,-,-,-,8.5,82.4,1,1,-
"452Billy SharpSheff Utd, 36, FW","Billy Sharp Sheff Utd, 36, FW",7(9),730,0.3,-,0.9,-,0.1,0.4,-,-,6.2,3,-,0.6,0.3,0.9,0.7,1,1.1,-,0.3,7.0,75.0,0.1,-,0.1
"453Jacob RamseyAston Villa, 20, AM(C)","Jacob Ramsey Aston Villa, 20, AM(C)",6(16),619,0.5,0.2,0.6,-,0.2,0.5,0.3,-,6.2,-,-,0.5,0.3,0.5,0.1,0.5,0.6,-,0.3,10.0,86.0,0.1,0.5,-
