,posX,posY,Age,Mins,Tackles,Inter,KeyP,Goals,Assists,Disp,UnsTch,AvgP,PS%,Crosses,LongB,ThrB,Rating,CurrentPts,Pts,C_Mins,C_Tackles,C_Inter,C_Goals,C_Assists,C_KeyP,C_AvgP,C_PS%,C_Rating
1256,1.5,1.0,28,2311,2.3,3.1,0.4,0,1,0.1,0.4,44.5,85.6,0.2,1.1,0.0,7.33,20.0,94.0,353.0,2.0,2.3,0,0,0.3,56.3,96.9,6.93
1257,1.5,1.0,28,1486,1.9,2.0,1.1,2,3,0.6,0.5,38.7,80.6,1.6,2.0,0.0,7.32,15.0,71.0,183.0,1.3,2.0,0,0,1.0,24.0,84.4,6.62
1258,0.0,1.0,25,3124,3.6,2.0,0.7,1,3,1.2,0.5,63.8,86.4,0.1,3.3,0.0,7.5,21.0,126.0,714.0,5.8,1.8,2,1,0.5,66.1,90.2,8.0
1259,1.0,2.0,23,1663,3.2,3.7,0.2,0,0,1.1,0.6,45.5,85.8,0.0,1.5,0.0,7.47,20.0,94.0,131.0,3.0,1.5,0,0,0.5,57.0,91.2,7.23
1260,0.0,4.0,25,2085,0.5,0.2,1.6,20,3,2.7,2.2,27.3,77.4,0.2,0.4,0.0,7.43,21.0,126.0,508.0,0.4,0.6,0,1,0.7,24.0,75.0,6.76
1261,0.0,2.0,31,2357,1.0,0.5,1.1,10,1,1.3,0.8,83.1,88.9,0.1,3.9,0.2,7.4,15.0,71.0,423.0,0.4,0.8,1,0,0.8,69.4,88.5,6.43
1262,0.0,0.0,28,2288,1.3,3.5,0.1,3,0,0.2,0.3,42.9,88.9,0.0,2.4,0.0,7.4,20.0,94.0,360.0,2.0,4.0,0,0,0.0,57.3,92.6,7.39
1263,2.0,0.0,28,2058,2.6,3.4,1.1,1,3,0.7,0.7,59.0,81.5,0.3,2.7,0.0,7.38,15.0,71.0,524.0,2.2,3.0,0,1,0.7,48.8,83.6,6.5
1264,1.0,3.0,23,3379,0.7,0.6,2.6,14,9,2.7,2.1,58.4,86.8,0.3,2.3,0.2,7.96,21.0,126.0,654.0,0.3,1.1,3,2,2.1,51.7,82.0,8.4
1265,1.0,3.0,25,2953,2.0,1.2,2.3,16,8,3.3,2.1,42.0,76.8,0.6,1.3,0.4,7.81,20.0,94.0,602.0,1.0,0.1,3,1,1.6,45.6,74.9,7.82
1266,1.0,3.0,26,2540,0.7,0.4,1.0,26,8,2.7,1.9,25.2,85.6,0.1,0.5,0.1,7.67,15.0,71.0,550.0,0.4,0.1,6,1,0.6,19.0,82.7,7.09
1267,1.0,3.0,27,2890,2.6,0.7,2.8,3,18,1.4,1.0,80.6,85.2,1.7,5.4,0.5,7.62,21.0,126.0,694.0,3.0,1.3,2,3,2.5,76.1,87.4,7.71
1268,1.0,2.0,29,2992,1.6,1.1,2.1,7,11,1.5,1.0,64.0,89.0,1.1,2.2,0.2,7.6,20.0,94.0,559.0,2.6,1.6,0,2,1.3,64.9,86.1,7.57
1269,1.0,2.0,25,1860,1.3,0.5,3.1,4,5,1.7,1.5,63.6,88.3,1.8,0.9,0.2,7.57,20.0,94.0,319.0,1.0,0.3,0,1,2.3,64.0,86.7,6.8
1270,1.0,3.0,28,2661,1.4,0.7,2.9,12,7,2.3,1.3,67.1,85.7,0.4,1.4,0.6,7.53,15.0,71.0,449.0,1.3,1.2,0,1,2.5,54.0,88.3,7.04
1271,1.0,2.0,18,833,0.9,0.7,0.4,0,0,1.5,0.7,19.1,73.8,0.1,0.6,0.2,6.14,10.0,37.0,16.0,0.0,0.0,0,0,0.0,9.0,72.2,6.1
1272,0.0,4.0,21,554,0.3,0.0,0.0,0,0,0.8,0.7,8.1,56.1,0.0,0.1,0.0,6.14,10.0,37.0,271.0,0.8,0.0,1,0,0.8,17.3,65.2,6.85
1273,2.0,3.0,27,961,0.6,0.4,0.5,1,0,1.3,1.6,15.4,68.1,0.2,0.5,0.1,6.3,10.0,37.0,110.0,0.0,0.0,0,1,0.7,13.7,58.5,6.34
1274,0.0,4.0,23,574,0.6,0.2,0.4,1,2,0.3,0.9,9.0,70.4,0.0,0.1,0.0,6.39,22.0,101.0,24.0,1.0,1.0,0,0,1.0,9.0,66.7,6.03
1275,2.0,3.0,18,463,0.5,0.5,0.4,1,1,0.7,1.6,14.3,79.7,0.2,0.3,0.0,6.49,34.0,145.0,120.0,0.7,0.0,0,0,0.7,14.0,85.7,6.48
