,Player,Player.1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Goals,Assists,SpG,KeyP,Fouled,Off,Disp,UnsTch,AvgP,PS%,Crosses,LongB,ThrB
1,"482Marco CapuanoCagliari, 30, D(CL)","Marco Capuano Cagliari, 30, D(CL)",8(4),769,1.2,1,0.8,0.3,2.2,0.6,0.3,-,6.27,1,-,0.3,0.3,0.7,0.1,0.5,0.4,32.8,78.4,0.3,1.4,-
2,"483Orji OkwonkwoBologna, 24, AM(LR)","Orji Okwonkwo Bologna, 24, AM(LR)",1(8),244,0.7,0.2,0.6,-,0.4,0.1,-,-,6.27,-,2,0.3,0.3,0.6,0.2,0.6,0.7,9.9,83.1,-,0.2,-
3,"484Cristian RaimondiAtalanta, 41, D(R),M(R)","Cristian Raimondi Atalanta, 41, D(R),M(R)",4(4),331,0.5,1.4,1,-,1.8,0.6,0.3,-,6.27,-,-,0.4,0.5,1,0.1,0.4,0.5,21.8,82.8,0.5,0.5,0.1
4,"485Mauricio PinillaGenoa, 38, FW","Mauricio Pinilla Genoa, 38, FW",6(6),552,0.3,-,2.2,-,0.5,0.7,0.1,-,6.26,-,1,1.9,0.3,0.8,0.5,0.7,1,10.8,56.9,0.1,0.4,-
5,"486Accursio BentivegnaPalermo FC, 25, Forward","Accursio Bentivegna Palermo FC, 25, Forward",2(1),90,0.7,-,-,-,-,0.7,-,-,6.25,-,-,0.3,-,2,-,1,0.3,10.0,73.3,-,1,-
6,"487Luca BittanteCagliari, 28, D(R)","Luca Bittante Cagliari, 28, D(R)",3(2),309,1.2,2,1,0.2,1.8,0.8,-,-,6.24,-,-,0.2,0.8,0.4,-,-,0.6,23.8,69.7,0.4,0.4,-
7,"488Giorgio SpizzichinoLazio, 22, Defender","Giorgio Spizzichino Lazio, 22, Defender",0(1),11,2.0,-,-,-,-,-,-,-,6.24,-,-,-,-,-,-,-,-,7.0,57.1,-,-,-
8,"489Samuel GustafsonTorino, 27, AM(C)","Samuel Gustafson Torino, 27, AM(C)",1(4),221,0.6,1.4,1,-,1,1.4,0.4,-,6.24,-,-,-,0.2,1,-,0.4,0.2,18.4,81.5,-,1,0.2
9,"490Senna MiangueCagliari, 25, D(CL),M(L)","Senna Miangue Cagliari, 25, D(CL),M(L)",0(4),133,0.3,0.8,1,-,1.5,0.3,-,-,6.24,-,-,-,0.3,-,-,0.5,0.3,12.5,72.0,0.3,1,-
0,"471Marcel BüchelEmpoli, 31, DMC","Marcel Büchel Empoli, 31, DMC",10(5),823,0.9,1.1,1.2,-,1.3,0.8,0.2,-,6.3,-,-,0.6,0.1,0.5,-,1.2,0.8,32.2,82.2,0.1,1.3,0.1
1,"472Luca RizzoBologna, 30, AM(CLR)","Luca Rizzo Bologna, 30, AM(CLR)",4(8),452,0.8,0.4,0.3,0.3,0.6,0.8,-,-,6.3,-,-,0.4,0.3,0.3,0.1,1.2,0.9,14.5,71.8,0.2,0.2,-
2,"473Leonardo PavolettiNapoli, 33, FW","Leonardo Pavoletti Napoli, 33, FW",2(4),194,0.2,0.5,1.2,-,0.5,0.2,-,-,6.3,-,-,1.2,0.2,0.2,0.2,0.7,1.2,8.0,77.1,-,-,-
3,"474Daniele PadelliTorino, 36, GK","Daniele Padelli Torino, 36, GK",2,180,-,-,-,-,2.0,-,-,-,6.3,-,-,-,-,-,-,-,-,22.0,84.1,-,4.5,-
4,"475GersonRoma, 25, M(CLR)","Gerson Roma, 25, M(CLR)",2(2),132,0.8,0.8,1,-,0.3,-,-,-,6.29,-,-,-,0.3,0.5,-,0.8,0.8,19.0,89.5,-,0.5,-
5,"476Marco ZambelliEmpoli, 36, D(R)","Marco Zambelli Empoli, 36, D(R)",4(6),395,0.7,1.5,0.7,0.3,0.8,1.2,0.1,-,6.29,-,-,0.1,0.5,0.4,-,0.5,0.7,18.5,80.5,0.4,0.4,0.1
6,"477Assane GnoukouriInter, 25, M(C)","Assane Gnoukouri Inter, 25, M(C)",0(4),140,0.8,1,1.8,-,0.5,0.3,-,-,6.29,-,-,0.3,0.3,-,-,1.3,0.5,23.8,86.3,-,0.8,-
7,"478RyderUdinese, 29, AM(CLR),FW","Ryder Udinese, 29, AM(CLR),FW",4(16),541,0.5,0.3,0.7,0.1,0.2,0.2,-,-,6.28,-,-,0.7,0.3,1.5,-,1,1,8.5,82.9,0.3,0.2,-
8,"479Andrea PoliAC Milan, 32, M(CL)","Andrea Poli AC Milan, 32, M(CL)",3(10),380,0.8,0.8,0.5,-,0.2,0.5,0.1,-,6.28,-,-,0.2,0.4,0.5,-,0.2,0.5,13.8,93.3,-,0.6,-
9,"480Roberto VitielloPalermo FC, 39, D(C)","Roberto Vitiello Palermo FC, 39, D(C)",5,373,1.8,1.6,0.8,0.2,3.4,0.8,0.2,-,6.27,-,-,-,-,0.4,-,0.2,0.2,34.6,86.7,-,1.6,-
0,"461Andrea PinamontiInter, 23, FW","Andrea Pinamonti Inter, 23, FW",0(2),19,0.5,0.5,-,-,0.5,-,-,-,6.32,-,-,1,0.5,-,-,-,-,4.5,66.7,-,-,-
1,"462Michele FornasierPescara, 28, D(C)","Michele Fornasier Pescara, 28, D(C)",16(6),1614,0.9,1.6,0.5,0.1,2.9,0.4,0.5,-,6.31,-,1,-,0.2,0.2,-,-,0.1,29.6,84.7,-,1.5,-
2,"463Hrvoje MilicevicPescara, 29, Midfielder","Hrvoje Milicevic Pescara, 29, Midfielder",1(2),132,1.7,1,0.7,-,0.3,0.7,-,-,6.31,-,-,0.3,0.7,0.3,-,0.3,0.7,26.0,80.8,-,1.3,-
3,"464Luca CreccoLazio, 26, Midfielder","Luca Crecco Lazio, 26, Midfielder",0(3),53,-,0.3,0.3,-,-,-,0.3,-,6.31,1,-,0.7,-,-,-,-,0.7,9.3,64.3,-,-,-
