,Player,Player.1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Goals,Assists,SpG,KeyP,Fouled,Off,Disp,UnsTch,AvgP,PS%,Crosses,LongB,ThrB
9,"370Malik TchokounteCaen, 33, FW","Malik Tchokounte Caen, 33, FW",16(13),1468,0.7,0.2,1.7,-,0.8,0.2,-,-,6.46,-,2,0.8,0.3,1,0.4,1.1,2.1,15.4,69.1,-,0.3,-
0,"351Emil KrafthAmiens, 27, D(CR)","Emil Krafth Amiens, 27, D(CR)",33(2),2973,1.6,0.6,1.1,0.1,2.3,0.9,0.3,-,6.49,1,1,0.3,0.5,1,-,0.4,1.0,30.2,73.4,0.4,1.7,-
1,"352Romain AmalfitanoDijon, 32, M(CR)","Romain Amalfitano Dijon, 32, M(CR)",30(2),2530,1.6,1.5,1.3,-,1.1,1.3,0.4,-,6.48,-,-,0.6,0.5,0.9,-,1.1,1.7,32.4,78.8,0.2,3.2,0.1
2,"353Steve MandandaMarseille, 37, GK","Steve Mandanda Marseille, 37, GK",31,2737,-,-,0.1,-,0.6,0.1,-,-,6.48,-,-,-,-,0.1,-,-,0.1,27.5,66.3,-,5.7,-
3,"354Stevan JoveticMonaco, 32, AM(CL),FW","Stevan Jovetic Monaco, 32, AM(CL),FW",4(4),398,0.3,0.1,0.5,-,0.4,0.3,-,-,6.48,2,-,2.5,0.8,0.4,0.1,0.4,1.4,15.3,68.0,-,0.4,0.3
4,"355Cheick TraoréGuingamp, 27, D(R)","Cheick Traoré Guingamp, 27, D(R)",16(4),1505,1.9,1.2,1.3,0.1,1.7,0.5,0.2,-,6.48,-,-,0.4,0.6,0.5,0.1,0.7,0.9,20.8,69.4,0.6,0.6,-
5,"356Giulian BianconeMonaco, 22, D(CLR),M(LR)","Giulian Biancone Monaco, 22, D(CLR),M(LR)",1,90,4,3,2,-,2,2,-,-,6.48,-,-,1,-,-,-,-,2.0,35.0,80.0,-,3,-
6,"357Jérémy PiedLille, 33, D(LR),M(CLR)","Jérémy Pied Lille, 33, D(LR),M(CLR)",4(7),462,1.1,0.5,0.6,0.1,1.1,0.5,0.1,-,6.48,-,2,-,0.6,0.5,0.1,0.1,0.3,24.9,78.1,0.5,0.8,-
7,"358Diafra SakhoRennes, 32, FW","Diafra Sakho Rennes, 32, FW",2,146,1,-,-,-,-,-,-,-,6.48,-,-,0.5,-,0.5,1,2,4.5,12.0,58.3,-,-,-
8,"359Yassine BenrahouBordeaux, 23, AM(CR)","Yassine Benrahou Bordeaux, 23, AM(CR)",1(3),175,2.3,0.5,0.5,-,0.3,0.8,-,-,6.48,-,-,1.5,0.5,1,-,1,1.5,23.8,84.2,0.3,0.3,-
9,"360Christophe KerbratGuingamp, 35, D(C)","Christophe Kerbrat Guingamp, 35, D(C)",25,2098,1.6,2,0.3,0.2,5.2,0.6,0.4,-,6.47,-,-,0.1,-,0.9,-,0.1,0.4,34.4,78.0,-,4.4,-
0,"341Mathías SuárezMontpellier, 25, M(R)","Mathías Suárez Montpellier, 25, M(R)",7(3),558,2,0.9,1.4,-,1.6,1.3,-,-,6.5,-,-,-,0.4,1.6,0.1,0.6,0.8,18.5,77.8,0.5,0.5,-
1,"342Jordan SiebatcheuRennes, 26, FW","Jordan Siebatcheu Rennes, 26, FW",7(8),608,0.4,0.3,0.9,-,0.3,0.1,0.1,-,6.5,3,1,1.3,0.2,0.5,0.1,0.7,1.1,6.1,74.7,-,0.1,-
