,Player,Player.1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Goals,Assists,SpG,KeyP,Fouled,Off,Disp,UnsTch,AvgP,PS%,Crosses,LongB,ThrB
7,"58Giovani Lo CelsoTottenham, 26, M(CR),FW","Giovani Lo Celso Tottenham, 26, M(CR),FW",4(1),332,1.8,1,0.6,-,0.8,1.8,0.2,-,7.31,1,-,1.6,1.4,1.6,-,0.8,0.8,43.4,83.9,0.6,0.6,0.2
8,"59Saúl ÑíguezAtletico, 27, D(CL),M(CLR)","Saúl Ñíguez Atletico, 27, D(CL),M(CLR)",9,840,2.0,1.4,1.1,-,2.2,1.1,0.3,-,7.3,1,-,1.8,0.9,0.6,0.1,0.7,1.1,50.9,79.7,-,2.2,0.2
9,"60Sadio ManéLiverpool, 30, AM(CLR),FW","Sadio Mané Liverpool, 30, AM(CLR),FW",7(1),632,1.6,0.5,1.8,-,0.1,0.6,-,-,7.3,2,1,2.3,1.9,1.9,0.3,1.9,2.8,37.0,81.1,0.1,1.9,0.3
0,"41Carles AleñáBarcelona, 24, AM(CLR)","Carles Aleñá Barcelona, 24, AM(CLR)",1,90,1.0,1,1.0,-,-,4,-,-,7.41,-,-,-,4,2,-,1,2,94.0,85.1,2,3.0,-
1,"42RodrigoValencia, 31, M(CLR),FW","Rodrigo Valencia, 31, M(CLR),FW",6,529,0.7,0.7,1.3,-,1.2,0.8,-,-,7.41,2,2,3.7,1.5,2,0.2,1.3,2.3,35.0,79.5,0.3,0.8,0.3
2,"43MarceloReal Madrid, 34, D(L),M(L)","Marcelo Real Madrid, 34, D(L),M(L)",3(1),267,0.8,1.3,1.3,-,1,0.3,-,-,7.41,-,3,2,2,0.8,-,0.8,0.8,40.3,86.3,1.8,1.3,-
3,"44Naby KeïtaLiverpool, 27, M(C)","Naby Keïta Liverpool, 27, M(C)",3(1),252,2.3,0.5,1.0,-,0.3,1,-,-,7.4,1,-,2.3,1,0.8,-,1.5,1.3,58.0,91.4,-,1.3,-
4,"45Artem DzyubaZenit, 33, FW","Artem Dzyuba Zenit, 33, FW",6,540,0.8,0.2,1.7,0.2,0.3,0.7,-,-,7.4,2,1,1.2,2.2,1,1,1.7,2.2,36.8,70.6,0.2,1.2,0.2
5,"46Thomas MüllerBayern, 32, M(CLR),FW","Thomas Müller Bayern, 32, M(CLR),FW",7(3),709,1.5,0.5,1.5,-,0.5,2.6,-,-,7.39,4,2,2,2.5,0.3,0.3,1.1,0.7,30.2,80.5,0.5,0.8,0.1
6,"47PizziBenfica, 32, M(CLR)","Pizzi Benfica, 32, M(CLR)",4(2),403,1.0,0.3,0.2,-,-,1.8,0.3,-,7.38,3,2,1.7,1.8,1.3,0.2,0.5,1.2,46.3,81.7,1.2,3.3,0.2
7,"48Erling HålandBorussia Dortmund, 21, FW","Erling Håland Borussia Dortmund, 21, FW",2,180,1.5,1,2.0,-,1.5,0.5,0.5,-,7.38,2,-,2,-,1,-,3.5,1.5,16.0,75.0,-,0.5,-
8,"49Roberto FirminoLiverpool, 30, M(CLR),FW","Roberto Firmino Liverpool, 30, M(CLR),FW",7(1),629,1.6,0.4,0.5,-,0.3,1.1,-,-,7.37,1,3,1.8,1.8,0.3,0.4,1.3,3.4,36.4,78.7,-,0.9,0.4
9,"50Matej MitrovicClub Bruges, 28, D(C)","Matej Mitrovic Club Bruges, 28, D(C)",1,90,1.0,-,2.0,1,8,-,-,-,7.37,-,-,1,-,-,-,-,-,52.0,84.6,-,5.0,-
0,"31Juan BernatPSG, 29, D(L),M(CL)","Juan Bernat PSG, 29, D(L),M(CL)",10,875,1.7,1.2,0.8,-,2,1.3,0.1,-,7.47,2,2,0.4,1,1.6,0.1,0.3,0.8,45.2,89.6,0.2,0.5,-
1,"32Dries MertensNapoli, 35, AM(CLR),FW","Dries Mertens Napoli, 35, AM(CLR),FW",7(1),586,2.1,0.5,1.4,-,-,1.0,-,-,7.47,6,1,2.6,1.5,1.0,0.1,1,0.8,21.3,74.1,0.8,1.4,-
2,"33Ferran TorresValencia, 22, AM(LR),FW","Ferran Torres Valencia, 22, AM(LR),FW",5(1),481,1.3,0.8,0.2,-,0.5,1.3,-,-,7.47,2,2,1.7,1.7,1.8,0.2,2.3,2.3,28.3,80.6,1,0.2,0.3
3,"34Erling HålandSalzburg, 21, FW","Erling Håland Salzburg, 21, FW",4(2),374,0.2,0.2,1.2,-,0.8,0.7,-,-,7.45,8,1,2.8,0.7,0.2,0.3,0.7,2.3,16.0,63.5,0.2,-,-
4,"35Simon KjaerAtalanta, 33, D(C)","Simon Kjaer Atalanta, 33, D(C)",1,90,4.0,-,2.0,-,6,2.0,-,-,7.44,-,-,1.0,-,1.0,-,-,-,35.0,68.6,-,2,-
5,"36Joshua KimmichBayern, 27, D(CR),DMC,M(R)","Joshua Kimmich Bayern, 27, D(CR),DMC,M(R)",10(1),903,1.4,0.9,1.3,0.3,0.7,0.9,0.2,-,7.44,2,4,0.5,2.5,1.4,0.3,0.5,1.1,67.7,88.1,1.5,4.7,0.1
6,"37Achraf HakimiBorussia Dortmund, 23, D(LR),M(R)","Achraf Hakimi Borussia Dortmund, 23, D(LR),M(R)",8,710,2.5,0.9,1.1,0.4,1.1,0.4,0.1,-,7.43,4,-,2.0,1.3,1.9,0.1,1.5,1.9,56.4,84.9,1.1,1,-
7,"38Kylian MbappéPSG, 23, AM(LR),FW","Kylian Mbappé PSG, 23, AM(LR),FW",6(4),653,0.4,0.1,0.5,-,-,0.6,-,-,7.43,5,5,3.0,1.3,1.0,0.5,1.2,2.2,24.4,85.2,0.1,0.5,0.3
8,"39Quincy PromesAjax, 30, M(CLR),FW","Quincy Promes Ajax, 30, M(CLR),FW",5,425,1.4,0.4,1.0,-,-,1.8,-,-,7.42,4,-,2.8,1.2,0.4,0.8,1.6,3,39.2,81.1,0.8,0.6,-
9,"40WillianChelsea, 33, AM(CLR)","Willian Chelsea, 33, AM(CLR)",6(1),530,0.7,-,0.9,-,0.1,0.9,-,-,7.42,1,1,1.4,2.7,2.0,0.1,1.4,1.7,33.6,78.3,1.9,1.9,-
0,"21Nicolás TagliaficoAjax, 29, D(CL)","Nicolás Tagliafico Ajax, 29, D(CL)",6,539,4.5,3,1.5,0.2,2.7,1.3,0.5,-,7.57,1,1,0.5,1,1.7,-,0.3,1,43.0,79.8,0.7,0.7,-
