,Player,Player.1,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,Rating,Goals,Assists,SpG,KeyP,Fouled,Off,Disp,UnsTch,AvgP,PS%,Crosses,LongB,ThrB,C_Player,C_Mins,C_Tackles,C_Inter,C_Goals,C_Assists,C_KeyP,C_AvgP,C_PS%,C_Rating,Name,Club,Age,uefa_club,Position,CurrentPts,Pts,posX,posY
122,"65Filipe LuísAtletico, 36, D(L)","Filipe Luís Atletico, 36, D(L)",2038,2.4,1.6,1.0,0,1.4,1.0,0.1,6.96,2,2,0.4,0.6,0.5,0.1,0.7,0.6,47.7,83.1,0.3,1.5,0,"Filipe Luís Atletico, 36, D(L)",405.0,2.2,3.2,0,1,1.6,50.4,85.7,7.11,Filipe Luís,Atletico,32,ATL  Club Atlético de Madrid  Atlético,D(L),20.000,127.0,2.0,0.0
123,"68Geoffrey KondogbiaValencia, 29, D(C),DMC","Geoffrey Kondogbia Valencia, 29, D(C),DMC",1244,2.5,1.4,1.1,0,1.2,0.8,0.4,6.95,1,1,1.2,0.3,1,0,1.1,0.8,39.2,84.4,0,3.8,0.2,"Geoffrey Kondogbia Valencia, 29, D(C),DMC",409.0,3.2,2.6,0,0,1,52.8,85.2,7.02,Geoffrey Kondogbia,Valencia,25,VAL  Valencia CF  Valencia,"D(C),DMC",23.000,37.0,0.0,0.5
124,"51Sergio ReguilónReal Madrid, 25, D(L),M(L)","Sergio Reguilón Real Madrid, 25, D(L),M(L)",1122,1.8,1.4,1.7,0.2,2.5,0.8,0.2,7.0,0,2,0.4,1.2,2.1,0,0.4,1.6,47.6,85.9,0.3,2.4,0,"Sergio Reguilón Real Madrid, 25, D(L),M(L)",360.0,1.8,2.5,0,1,1.5,53.5,80.8,7.17,Sergio Reguilón,Real Madrid,21,RM  Real Madrid CF  Real Madrid,"D(L),M(L)",19.000,146.0,2.0,1.0
125,"53Sergio BusquetsBarcelona, 33, DMC","Sergio Busquets Barcelona, 33, DMC",2720,2.6,1.5,1.1,0,0.6,1.4,0.2,7.0,0,1,0.2,0.4,1.5,0,0.7,0.4,68.4,89.7,0,4.3,0.1,"Sergio Busquets Barcelona, 33, DMC",1035.0,3.4,1.3,0,1,0.9,80.8,93.2,7.18,Sergio Busquets,Barcelona,29,BAR  FC Barcelona  Barcelona,DMC,30.000,138.0,0.0,1.0
126,"56Francis CoquelinValencia, 31, M(CLR)","Francis Coquelin Valencia, 31, M(CLR)",1767,1.8,1.9,0.8,0,1.1,0.7,0.2,6.99,0,1,0.3,0.7,1.1,0,1,0.6,37.2,86.1,0,2.9,0.1,"Francis Coquelin Valencia, 31, M(CLR)",278.0,1.8,2.5,0,0,0.3,36.5,86.3,6.86,Francis Coquelin,Valencia,27,VAL  Valencia CF  Valencia,M(CLR),23.000,37.0,1.0,2.0
127,"57Diego GodínAtletico, 36, D(C)","Diego Godín Atletico, 36, D(C)",2508,1.7,1.5,1.1,0.2,4.5,0.7,0.3,6.98,3,1,0.5,0.1,0.8,0,0,0.4,34.9,80.5,0,3.1,0,"Diego Godín Atletico, 36, D(C)",540.0,0.5,1.5,1,0,0.7,44.0,80.3,6.85,Diego Godín,Atletico,32,ATL  Club Atlético de Madrid  Atlético,D(C),20.000,127.0,0.0,0.0
128,"58José GayàValencia, 27, D(L),M(L)","José Gayà Valencia, 27, D(L),M(L)",3138,2.4,1.2,1,0.4,2.7,1,0.2,6.98,1,1,0.4,0.7,1.6,0.1,0.5,0.9,41.5,81.9,0.6,2.1,0,"José Gayà Valencia, 27, D(L),M(L)",450.0,1.8,1,0,0,0.6,44.4,80.6,6.65,José Gayà,Valencia,23,VAL  Valencia CF  Valencia,"D(L),M(L)",23.000,37.0,2.0,1.0
129,"41Daniel CarvajalReal Madrid, 30, D(R)","Daniel Carvajal Real Madrid, 30, D(R)",2106,1.7,1.1,1.3,0,1.1,1,0.3,7.04,1,2,0.5,1.3,1.4,0.1,0.8,1.1,64.6,87.4,0.4,3.5,0,"Daniel Carvajal Real Madrid, 30, D(R)",419.0,1.5,1.3,0,1,1.5,49.0,85.7,6.77,Daniel Carvajal,Real Madrid,26,RM  Real Madrid CF  Real Madrid,D(R),19.000,146.0,2.0,0.0
130,"43Luka ModricReal Madrid, 36, M(C)","Luka Modric Real Madrid, 36, M(C)",2618,1.4,0.9,0.8,0,0.2,1,0.1,7.03,3,6,1.1,1.6,1.4,0.1,1.2,1.1,55.6,88.9,0.6,4.1,0.1,"Luka Modric Real Madrid, 36, M(C)",467.0,1.3,1.2,0,1,1.5,60.0,88.6,6.93,Luka Modric,Real Madrid,32,RM  Real Madrid CF  Real Madrid,M(C),19.000,146.0,0.0,2.0
131,"48Lucas HernándezAtletico, 26, D(CL)","Lucas Hernández Atletico, 26, D(CL)",1119,2.5,1,0.9,0.1,3.4,0.2,0.6,7.02,1,0,0.4,0.2,1.4,0,0.4,0.3,36.4,81.3,0.2,1.5,0,"Lucas Hernández Atletico, 26, D(CL)",450.0,1.4,1.2,0,0,0.2,54.6,86.8,6.73,Lucas Hernández,Atletico,22,ATL  Club Atlético de Madrid  Atlético,D(CL),20.000,127.0,1.0,0.0
